Time	MeshX	MeshY	
0	-0.3	0.08	
0.001	-0.3	0.08	
0.002	-0.3	0.07999019	
0.003	-0.3	0.07997074	
0.004	-0.3	0.07994156	
0.005	-0.3	0.07990266	
0.006	-0.3	0.07985403	
0.007	-0.3	0.07979565	
0.008	-0.2999999	0.07972755	
0.009000001	-0.2999998	0.07964972	
0.01	-0.2999997	0.07956216	
0.011	-0.2999996	0.07946488	
0.012	-0.2999994	0.07935786	
0.013	-0.2999991	0.0792411	
0.014	-0.2999988	0.07911462	
0.015	-0.2999984	0.07897841	
0.016	-0.2999978	0.07883248	
0.017	-0.2999972	0.07867681	
0.018	-0.2999965	0.07851141	
0.019	-0.2999955	0.07833629	
0.02	-0.2999945	0.07815143	
0.021	-0.2999932	0.07795686	
0.022	-0.2999918	0.07775255	
0.023	-0.2999902	0.07753851	
0.024	-0.2999883	0.07731476	
0.025	-0.2999862	0.07708126	
0.026	-0.2999837	0.07683805	
0.027	-0.299981	0.07658511	
0.028	-0.2999779	0.07632243	
0.029	-0.2999745	0.07605004	
0.03	-0.2999707	0.07576792	
0.031	-0.2999664	0.07547607	
0.032	-0.2999618	0.07517451	
0.033	-0.2999566	0.07486323	
0.034	-0.299951	0.07454222	
0.035	-0.2999449	0.07421149	
0.036	-0.2999382	0.07387105	
0.037	-0.2999308	0.07352088	
0.038	-0.2999229	0.073161	
0.039	-0.2999143	0.07279141	
0.04	-0.299905	0.0724121	
0.041	-0.299895	0.07202309	
0.042	-0.2998842	0.07162436	
0.043	-0.2998725	0.07121594	
0.044	-0.2998601	0.0707978	
0.045	-0.2998467	0.07036997	
0.046	-0.2998324	0.06993243	
0.047	-0.2998171	0.0694852	
0.048	-0.2998008	0.06902827	
0.049	-0.2997834	0.06856166	
0.05	-0.2997649	0.06808535	
0.051	-0.2997453	0.06759936	
0.052	-0.2997244	0.0671037	
0.053	-0.2997023	0.06659836	
0.054	-0.299679	0.06608334	
0.055	-0.2996542	0.06555866	
0.056	-0.299628	0.06502432	
0.057	-0.2996005	0.06448032	
0.058	-0.2995713	0.06392667	
0.059	-0.2995407	0.06336337	
0.06	-0.2995084	0.06279045	
0.061	-0.2994744	0.06220787	
0.062	-0.2994387	0.06161568	
0.063	-0.2994013	0.06101386	
0.064	-0.299362	0.06040243	
0.06500001	-0.2993208	0.0597814	
0.066	-0.2992776	0.05915077	
0.067	-0.2992324	0.05851055	
0.068	-0.2991851	0.05786076	
0.06900001	-0.2991357	0.05720139	
0.07	-0.2990841	0.05653246	
0.071	-0.2990302	0.05585398	
0.072	-0.2989739	0.05516597	
0.07300001	-0.2989153	0.05446842	
0.074	-0.2988542	0.05376135	
0.075	-0.2987905	0.05304478	
0.07600001	-0.2987242	0.0523187	
0.07700001	-0.2986552	0.05158316	
0.078	-0.2985835	0.05083814	
0.079	-0.298509	0.05008367	
0.08000001	-0.2984316	0.04931977	
0.081	-0.2983512	0.04854643	
0.082	-0.2982678	0.04776369	
0.083	-0.2981812	0.04697156	
0.08400001	-0.2980915	0.04617004	
0.085	-0.2979985	0.04535918	
