Time	1	2	RootY	
0	0	0	1	
0.001	0	0	0.9999902	
0.002	0	0	0.9999706	
0.003	0	0	0.9999411	
0.004	0	0	0.9999019	
0.005	0	0	0.9998528	
0.006	0	0	0.9997939	
0.007	0	0	0.9997253	
0.008	0	0	0.9996468	
0.009000001	0	0	0.9995585	
0.01	0	0	0.9994604	
0.011	0	0	0.9993525	
0.012	0	0	0.9992348	
0.013	0	0	0.9991072	
0.014	0	0	0.9989699	
0.015	0	0	0.9988227	
0.016	0	0	0.9986658	
0.017	0	0	0.998499	
0.018	0	0	0.9983224	
0.019	0	0	0.998136	
0.02	0	0	0.9979398	
0.021	0	0	0.9977338	
0.022	0	0	0.997518	
0.023	0	0	0.9972924	
0.024	0	0	0.997057	
0.025	0	0	0.9968117	
0.026	0	0	0.9965566	
0.027	0	0	0.9962918	
0.028	0	0	0.9960171	
0.029	0	0	0.9957326	
0.03	0	0	0.9954383	
0.031	0	0	0.9951342	
0.032	0	0	0.9948202	
0.033	0	0	0.9944965	
0.034	0	0	0.994163	
0.035	0	0	0.9938197	
0.036	0	0	0.9934665	
0.037	0	0	0.9931035	
0.038	0	0	0.9927307	
0.039	0	0	0.9923481	
0.04	0	0	0.9919558	
0.041	0	0	0.9915535	
0.042	0	0	0.9911415	
0.043	0	0	0.9907197	
0.044	0	0	0.990288	
0.045	0	0	0.9898466	
0.046	0	0	0.9893953	
0.047	0	0	0.9889343	
0.048	0	0	0.9884634	
0.049	0	0	0.9879827	
0.05	0	0	0.9874922	
0.051	0	0	0.9869919	
0.052	0	0	0.9864818	
0.053	0	0	0.9859619	
0.054	0	0	0.9854321	
0.055	0	0	0.9848925	
0.056	0	0	0.9843432	
0.057	0	0	0.983784	
0.058	0	0	0.983215	
0.059	0	0	0.9826363	
0.06	0	0	0.9820477	
0.061	0	0	0.9814492	
0.062	0	0	0.980841	
0.063	0	0	0.980223	
0.064	0	0	0.9795952	
0.06500001	0	0	0.9789575	
0.066	0	0	0.97831	
0.067	0	0	0.9776528	
0.068	0	0	0.9769857	
0.06900001	0	0	0.9763088	
0.07	0	0	0.9756221	
0.071	0	0	0.9749256	
0.072	0	0	0.9742193	
0.07300001	0	0	0.9735032	
0.074	0	0	0.9727772	
0.075	0	0	0.9720415	
0.07600001	0	0	0.971296	
0.07700001	0	0	0.9705406	
0.078	0	0	0.9697754	
0.079	0	0	0.9690004	
0.08000001	0	0	0.9682156	
0.081	0	0	0.967421	
