Time	Child_Y	Joint_Y	Root2_Y	Root_Y	
0	0.5	0.4999796	0.5	0	
0.0005	0.4999979	0.4999796	0.4999976	0	
0.001	0.4999937	0.4999796	0.4999927	0	
0.0015	0.4999874	0.4999796	0.4999853	0	
0.002	0.499979	0.4999796	0.4999755	0	
0.0025	0.4999685	0.4999796	0.4999633	0	
0.003	0.499956	0.4999796	0.4999485	0	
0.0035	0.4999413	0.4999796	0.4999313	0	
0.004	0.4999245	0.4999796	0.4999117	0	
0.0045	0.4999056	0.4999796	0.4998897	0	
0.005	0.4998847	0.4999796	0.4998651	0	
0.0055	0.4998616	0.4999796	0.4998381	0	
0.006	0.4998364	0.4999796	0.4998087	0	
0.0065	0.4998092	0.4999796	0.4997768	0	
0.007	0.4997798	0.4999796	0.4997425	0	
0.0075	0.4997484	0.4999796	0.4997057	0	
0.008	0.4997149	0.4999796	0.4996665	0	
0.0085	0.4996792	0.4999796	0.4996248	0	
0.009000001	0.4996415	0.4999796	0.4995806	0	
0.009500001	0.4996016	0.4999796	0.499534	0	
0.01	0.4995597	0.4999796	0.499485	0	
0.0105	0.4995157	0.4999796	0.4994335	0	
0.011	0.4994696	0.4999796	0.4993795	0	
0.0115	0.4994214	0.4999796	0.4993231	0	
0.012	0.4993711	0.4999796	0.4992642	0	
0.0125	0.4993187	0.4999796	0.4992029	0	
0.013	0.4992642	0.4999796	0.4991392	0	
0.0135	0.4992076	0.4999796	0.4990729	0	
0.014	0.4991488	0.4999796	0.4990043	0	
0.0145	0.499088	0.4999796	0.4989332	0	
0.015	0.4990252	0.4999796	0.4988596	0	
0.0155	0.4989602	0.4999796	0.4987836	0	
0.016	0.4988931	0.4999796	0.4987051	0	
0.0165	0.4988239	0.4999796	0.4986241	0	
0.017	0.4987527	0.4999796	0.4985408	0	
0.0175	0.4986793	0.4999796	0.4984549	0	
0.018	0.4986039	0.4999796	0.4983667	0	
0.0185	0.4985263	0.4999796	0.4982759	0	
0.019	0.4984467	0.4999796	0.4981827	0	
0.0195	0.4983649	0.4999796	0.4980871	0	
0.02	0.4982811	0.4999796	0.4979889	0	
0.0205	0.4981952	0.4999796	0.4978884	0	
0.021	0.4981072	0.4999796	0.4977854	0	
0.0215	0.498017	0.4999796	0.4976799	0	
0.022	0.4979249	0.4999796	0.497572	0	
0.0225	0.4978305	0.4999796	0.4974616	0	
0.023	0.4977341	0.4999796	0.4973488	0	
0.0235	0.4976357	0.4999796	0.4972336	0	
0.024	0.4975351	0.4999796	0.4971159	0	
0.0245	0.4974324	0.4999796	0.4969957	0	
0.025	0.4973277	0.4999796	0.4968731	0	
0.0255	0.4972208	0.4999796	0.496748	0	
0.026	0.4971119	0.4999796	0.4966205	0	
0.0265	0.4970008	0.4999796	0.4964905	0	
0.027	0.4968877	0.4999796	0.496358	0	
0.0275	0.4967725	0.4999796	0.4962232	0	
0.028	0.4966552	0.4999796	0.4960858	0	
0.0285	0.4965358	0.4999796	0.495946	0	
0.029	0.4964143	0.4999796	0.4958038	0	
0.0295	0.4962908	0.4999796	0.4956591	0	
0.03	0.4961651	0.4999796	0.4955119	0	
0.0305	0.4960374	0.4999796	0.4953623	0	
0.031	0.4959076	0.4999796	0.4952103	0	
0.0315	0.4957757	0.4999796	0.4950558	0	
0.032	0.4956417	0.4999796	0.4948988	0	
0.0325	0.4955056	0.4999796	0.4947394	0	
0.033	0.4953675	0.4999796	0.4945775	0	
0.0335	0.4952272	0.4999796	0.4944132	0	
0.034	0.4950849	0.4999796	0.4942465	0	
0.0345	0.4949405	0.4999796	0.4940772	0	
0.035	0.494794	0.4999796	0.4939055	0	
0.0355	0.4946455	0.4999796	0.4937314	0	
0.036	0.4944949	0.4999796	0.4935548	0	
0.0365	0.4943422	0.4999796	0.4933758	0	
0.037	0.4941874	0.4999796	0.4931943	0	
0.0375	0.4940306	0.4999796	0.4930104	0	
0.038	0.4938717	0.4999796	0.492824	0	
0.0385	0.4937107	0.4999796	0.4926352	0	
0.039	0.4935476	0.4999796	0.4924439	0	
0.0395	0.4933825	0.4999796	0.4922501	0	
0.04	0.4932153	0.4999796	0.4920539	0	
0.0405	0.4930461	0.4999796	0.4918552	0	
0.041	0.4928748	0.4999796	0.4916542	0	
0.0415	0.4927014	0.4999796	0.4914506	0	
0.042	0.492526	0.4999796	0.4912446	0	
0.0425	0.4923485	0.4999796	0.4910361	0	
0.043	0.492169	0.4999796	0.4908252	0	
0.0435	0.4919874	0.4999796	0.4906119	0	
0.044	0.4918037	0.4999796	0.490396	0	
0.0445	0.491618	0.4999796	0.4901777	0	
0.045	0.4914303	0.4999796	0.489957	0	
0.0455	0.4912405	0.4999796	0.4897338	0	
0.046	0.4910487	0.4999796	0.4895082	0	
0.0465	0.4908548	0.4999796	0.4892801	0	
0.047	0.4906588	0.4999796	0.4890496	0	
0.0475	0.4904609	0.4999796	0.4888166	0	
0.048	0.4902609	0.4999796	0.4885812	0	
0.0485	0.490059	0.4999796	0.4883433	0	
0.049	0.4898549	0.4999796	0.4881029	0	
0.0495	0.4896488	0.4999796	0.4878601	0	
0.05	0.4894408	0.4999796	0.4876149	0	
0.0505	0.4892306	0.4999796	0.4873672	0	
0.051	0.4890185	0.4999796	0.487117	0	
0.0515	0.4888044	0.4999796	0.4868644	0	
0.052	0.4885882	0.4999796	0.4866094	0	
0.0525	0.4883701	0.4999796	0.4863518	0	
0.053	0.4881499	0.4999796	0.4860919	0	
0.0535	0.4879278	0.4999796	0.4858294	0	
0.054	0.4877037	0.4999796	0.4855646	0	
0.0545	0.4874775	0.4999796	0.4852973	0	
0.055	0.4872494	0.4999796	0.4850275	0	
0.0555	0.4870193	0.4999796	0.4847553	0	
0.056	0.4867871	0.4999796	0.4844806	0	
0.0565	0.486553	0.4999796	0.4842034	0	
0.057	0.486317	0.4999796	0.4839239	0	
