Time	A	Length	MV	Tension	
0	0	0.5	-0.09991193	0	
0.0002	0	0.5	-0.0998241	0	
0.0004	0	0.5	-0.09973653	0	
0.0006	0	0.5	-0.09964921	0	
0.0008	0	0.5	-0.09956214	0	
0.0009999999	0	0.5	-0.09947531	0	
0.0012	0	0.5	-0.09938873	0	
0.0014	0	0.5	-0.0993024	0	
0.0016	0	0.5	-0.09921632	0	
0.0018	6.047146E-05	0.5	-0.09913048	3.023573E-07	
0.002	6.047146E-05	0.5	-0.09904489	3.023573E-07	
0.0022	6.047146E-05	0.5	-0.09895954	3.023573E-07	
0.0024	6.047146E-05	0.5	-0.09887443	3.023573E-07	
0.0026	6.047146E-05	0.5	-0.09878957	3.023573E-07	
0.0028	0.008784675	0.5	-0.09870495	4.422384E-05	
0.003	0.008784675	0.5	-0.09862057	4.422384E-05	
0.0032	0.008784675	0.5	-0.09853643	4.422384E-05	
0.0034	0.008784675	0.5	-0.09845253	4.422384E-05	
0.0036	0.008784675	0.5	-0.09836888	4.422384E-05	
0.0038	0.01795778	0.5	-0.09828545	0.0001337363	
0.004	0.01795778	0.5	-0.09820227	0.0001337363	
0.0042	0.01795778	0.5	-0.09811933	0.0001337363	
0.0044	0.01795778	0.5	-0.09803662	0.0001337363	
0.0046	0.01795778	0.5	-0.09795415	0.0001337363	
0.0048	0.02759398	0.5	-0.09787191	0.0002708704	
0.005	0.02759398	0.5	-0.09778991	0.0002708704	
0.0052	0.02759398	0.5	-0.09770814	0.0002708704	
0.0054	0.02759398	0.5	-0.0976266	0.0002708704	
0.0056	0.02759398	0.5	-0.0975453	0.0002708704	
0.0058	0.03770743	0.5	-0.09746423	0.0004577146	
0.006	0.03770743	0.5	-0.09738339	0.0004577146	
0.0062	0.03770743	0.5	-0.09730278	0.0004577146	
0.0064	0.03770743	0.5	-0.0972224	0.0004577146	
0.0066	0.03770743	0.5	-0.09714225	0.0004577146	
0.0068	0.04831244	0.5	-0.09706233	0.0006964161	
0.007	0.04831244	0.5	-0.09698264	0.0006964161	
0.0072	0.04831244	0.5	-0.09690318	0.0006964161	
0.0074	0.04831244	0.5	-0.09682393	0.0006964161	
0.0076	0.04831244	0.5	-0.09674492	0.0006964161	
0.0078	0.05942316	0.5	-0.09666613	0.0009891792	
0.007999999	0.05942316	0.5	-0.09658757	0.0009891792	
0.0082	0.05942316	0.5	-0.09650923	0.0009891792	
0.0084	0.05942316	0.5	-0.09643112	0.0009891792	
0.008599999	0.05942316	0.5	-0.09635323	0.0009891792	
0.0088	0.07105344	0.5	-0.09627556	0.001338264	
0.009	0.07105344	0.5	-0.09619811	0.001338264	
0.0092	0.07105344	0.5	-0.09612088	0.001338264	
0.0094	0.07105344	0.5	-0.09604388	0.001338264	
0.0096	0.07105344	0.5	-0.09596709	0.001338264	
0.0098	0.08321764	0.5	-0.09589052	0.001745988	
0.01	0.08321764	0.5	-0.09581417	0.001745988	
0.0102	0.08321764	0.5	-0.09573804	0.001745988	
0.0104	0.08321764	0.5	-0.09566212	0.001745988	
0.0106	0.08321764	0.5	-0.09558643	0.001745988	
0.0108	0.09592909	0.5	-0.09551094	0.002214721	
0.011	0.09592909	0.5	-0.09543568	0.002214721	
0.0112	0.09592909	0.5	-0.09536063	0.002214721	
0.0114	0.09592909	0.5	-0.09528579	0.002214721	
0.0116	0.09592909	0.5	-0.09521116	0.002214721	
0.0118	0.1092017	0.5	-0.09513675	0.002746888	
0.012	0.1092017	0.5	-0.09506255	0.002746888	
0.0122	0.1092017	0.5	-0.09498857	0.002746888	
0.0124	0.1092017	0.5	-0.09491479	0.002746888	
0.0126	0.1092017	0.5	-0.09484123	0.002746888	
0.0128	0.123049	0.5	-0.09476787	0.003344965	
0.013	0.123049	0.5	-0.09469473	0.003344965	
0.0132	0.123049	0.5	-0.09462178	0.003344965	
0.0134	0.123049	0.5	-0.09454905	0.003344965	
0.0136	0.123049	0.5	-0.09447654	0.003344965	
0.0138	0.1374838	0.5	-0.09440422	0.004011478	
0.014	0.1374838	0.5	-0.09433211	0.004011478	
0.0142	0.1374838	0.5	-0.09426021	0.004011478	
0.0144	0.1374838	0.5	-0.09418851	0.004011478	
0.0146	0.1374838	0.5	-0.09411702	0.004011478	
0.0148	0.1525196	0.5	-0.09404573	0.004749004	
0.015	0.1525196	0.5	-0.09397464	0.004749004	
0.0152	0.1525196	0.5	-0.09390376	0.004749004	
0.0154	0.1525196	0.5	-0.09383307	0.004749004	
0.0156	0.1525196	0.5	-0.09376259	0.004749004	
0.0158	0.1681687	0.5	-0.09369232	0.005560166	
0.016	0.1681687	0.5	-0.09362224	0.005560166	
0.0162	0.1681687	0.5	-0.09355236	0.005560166	
0.0164	0.1681687	0.5	-0.09348268	0.005560166	
0.0166	0.1681687	0.5	-0.0934132	0.005560166	
0.0168	0.1844443	0.5	-0.09334392	0.006447637	
0.017	0.1844443	0.5	-0.09327484	0.006447637	
0.0172	0.1844443	0.5	-0.09320595	0.006447637	
0.0174	0.1844443	0.5	-0.09313726	0.006447637	
0.0176	0.1844443	0.5	-0.09306876	0.006447637	
0.0178	0.2013576	0.5	-0.09300046	0.007414127	
0.018	0.2013576	0.5	-0.09293237	0.007414127	
0.0182	0.2013576	0.5	-0.09286445	0.007414127	
0.0184	0.2013576	0.5	-0.09279674	0.007414127	
0.0186	0.2013576	0.5	-0.09272921	0.007414127	
0.0188	0.2189215	0.5	-0.09266189	0.008462396	
0.019	0.2189215	0.5	-0.09259474	0.008462396	
0.0192	0.2189215	0.5	-0.0925278	0.008462396	
0.0194	0.2189215	0.5	-0.09246104	0.008462396	
0.0196	0.2189215	0.5	-0.09239448	0.008462396	
0.0198	0.2371467	0.5	-0.0923281	0.009595239	
0.02	0.2371467	0.5	-0.09226192	0.009595239	
0.0202	0.2371467	0.5	-0.09219592	0.009595239	
0.0204	0.2371467	0.5	-0.09213011	0.009595239	
0.0206	0.2371467	0.5	-0.09206449	0.009595239	
0.0208	0.2560444	0.5	-0.09199906	0.01081549	
0.021	0.2560444	0.5	-0.09193381	0.01081549	
0.0212	0.2560444	0.5	-0.09186875	0.01081549	
0.0214	0.2560444	0.5	-0.09180388	0.01081549	
0.0216	0.2560444	0.5	-0.09173919	0.01081549	
0.0218	0.2756258	0.4999898	-0.09167468	0.007038375	
0.022	0.2756258	0.4999898	-0.09161036	0.007038375	
0.0222	0.2756258	0.4999898	-0.09154622	0.007038375	
0.0224	0.2756258	0.4999898	-0.09148227	0.007038375	
0.0226	0.2756258	0.4999898	-0.09141849	0.007038375	
0.0228	0.2959008	0.4999874	-0.0913549	0.007244115	
0.023	0.2959008	0.4999874	-0.09129149	0.007244115	
0.0232	0.2959008	0.4999874	-0.09122827	0.007244115	
0.0234	0.2959008	0.4999874	-0.09116521	0.007244115	
0.0236	0.2959008	0.4999874	-0.09110235	0.007244115	
0.0238	0.3168798	0.4999847	-0.09103966	0.007447498	
0.024	0.3168798	0.4999847	-0.09097715	0.007447498	
0.0242	0.3168798	0.4999847	-0.09091482	0.007447498	
0.0244	0.3168798	0.4999847	-0.09085267	0.007447498	
0.0246	0.3168798	0.4999847	-0.09079069	0.007447498	
0.0248	0.3385718	0.4999821	-0.09072889	0.007786253	
0.025	0.3385718	0.4999821	-0.09066727	0.007786253	
0.0252	0.3385718	0.4999821	-0.09060582	0.007786253	
0.0254	0.3385718	0.4999821	-0.09054455	0.007786253	
0.0256	0.3385718	0.4999821	-0.09048345	0.007786253	
0.0258	0.3609861	0.4999796	-0.09042253	0.008263179	
0.026	0.3609861	0.4999796	-0.09036178	0.008263179	
0.0262	0.3609861	0.4999796	-0.0903012	0.008263179	
0.0264	0.3609861	0.4999796	-0.0902408	0.008263179	
0.0266	0.3609861	0.4999796	-0.09018057	0.008263179	
0.0268	0.3841314	0.4999772	-0.09012051	0.008925867	
0.027	0.3841314	0.4999772	-0.09006062	0.008925867	
0.0272	0.3841314	0.4999772	-0.09000091	0.008925867	
0.0274	0.3841314	0.4999772	-0.08994136	0.008925867	
0.0276	0.3841314	0.4999772	-0.08988199	0.008925867	
0.0278	0.4080153	0.499975	-0.08982278	0.009776942	
0.028	0.4080153	0.499975	-0.08976374	0.009776942	
0.0282	0.4080153	0.499975	-0.08970487	0.009776942	
0.0284	0.4080153	0.499975	-0.08964617	0.009776942	
0.0286	0.4080153	0.499975	-0.08958764	0.009776942	
0.0288	0.4326455	0.4999728	-0.08952927	0.01074445	
0.029	0.4326455	0.4999728	-0.08947107	0.01074445	
0.0292	0.4326455	0.4999728	-0.08941303	0.01074445	
0.0294	0.4326455	0.4999728	-0.08935516	0.01074445	
0.0296	0.4326455	0.4999728	-0.08929747	0.01074445	
0.0298	0.4580293	0.4999705	-0.08923993	0.01181652	
0.03	0.4580293	0.4999705	-0.08918255	0.01181652	
0.0302	0.4580293	0.4999705	-0.08912534	0.01181652	
0.0304	0.4580293	0.4999705	-0.08906829	0.01181652	
0.0306	0.4580293	0.4999705	-0.0890114	0.01181652	
0.0308	0.4841727	0.4999681	-0.08895468	0.0129515	
0.031	0.4841727	0.4999681	-0.08889812	0.0129515	
0.0312	0.4841727	0.4999681	-0.08884172	0.0129515	
0.0314	0.4841727	0.4999681	-0.08878548	0.0129515	
0.0316	0.4841727	0.4999681	-0.0887294	0.0129515	
0.0318	0.5110829	0.4999656	-0.08867349	0.01415278	
0.032	0.5110829	0.4999656	-0.08861773	0.01415278	
0.0322	0.5110829	0.4999656	-0.08856212	0.01415278	
0.0324	0.5110829	0.4999656	-0.08850668	0.01415278	
0.0326	0.5110829	0.4999656	-0.0884514	0.01415278	
0.0328	0.5387638	0.4999629	-0.08839627	0.01537895	
0.033	0.5387638	0.4999629	-0.08834131	0.01537895	
0.0332	0.5387638	0.4999629	-0.0882865	0.01537895	
0.0334	0.5387638	0.4999629	-0.08823185	0.01537895	
0.0336	0.5387638	0.4999629	-0.08817735	0.01537895	
0.0338	0.5672212	0.4999599	-0.088123	0.01661869	
0.034	0.5672212	0.4999599	-0.08806881	0.01661869	
0.0342	0.5672212	0.4999599	-0.08801478	0.01661869	
0.0344	0.5672212	0.4999599	-0.0879609	0.01661869	
0.0346	0.5672212	0.4999599	-0.08790717	0.01661869	
0.0348	0.5964587	0.4999568	-0.0878536	0.01787566	
0.035	0.5964587	0.4999568	-0.08780018	0.01787566	
0.0352	0.5964587	0.4999568	-0.08774691	0.01787566	
0.0354	0.5964587	0.4999568	-0.0876938	0.01787566	
0.0356	0.5964587	0.4999568	-0.08764084	0.01787566	
0.0358	0.6264809	0.4999533	-0.08758802	0.0191237	
0.036	0.6264809	0.4999533	-0.08753536	0.0191237	
0.0362	0.6264809	0.4999533	-0.08748285	0.0191237	
0.0364	0.6264809	0.4999533	-0.08743048	0.0191237	
0.0366	0.6264809	0.4999533	-0.08737828	0.0191237	
0.0368	0.6572902	0.4999495	-0.08732621	0.02035169	
0.037	0.6572902	0.4999495	-0.0872743	0.02035169	
0.0372	0.6572902	0.4999495	-0.08722253	0.02035169	
0.0374	0.6572902	0.4999495	-0.08717091	0.02035169	
0.0376	0.6572902	0.4999495	-0.08711944	0.02035169	
0.0378	0.6888896	0.4999453	-0.08706811	0.0215635	
0.038	0.6888896	0.4999453	-0.08701693	0.0215635	
0.0382	0.6888896	0.4999453	-0.0869659	0.0215635	
0.0384	0.6888896	0.4999453	-0.08691502	0.0215635	
0.0386	0.6888896	0.4999453	-0.08686427	0.0215635	
0.0388	0.7212814	0.4999408	-0.08681367	0.02274806	
0.039	0.7212814	0.4999408	-0.08676323	0.02274806	
0.0392	0.7212814	0.4999408	-0.08671291	0.02274806	
0.0394	0.7212814	0.4999408	-0.08666275	0.02274806	
0.0396	0.7212814	0.4999408	-0.08661273	0.02274806	
0.0398	0.7544665	0.4999359	-0.08656285	0.02389438	
0.04	0.7544665	0.4999359	-0.08651311	0.02389438	
0.0402	0.7544665	0.4999359	-0.08646352	0.02389438	
0.0404	0.7544665	0.4999359	-0.08641406	0.02389438	
0.0406	0.7544665	0.4999359	-0.08636475	0.02389438	
0.0408	0.7884444	0.4999306	-0.08631558	0.02500642	
0.041	0.7884444	0.4999306	-0.08626655	0.02500642	
0.0412	0.7884444	0.4999306	-0.08621766	0.02500642	
0.0414	0.7884444	0.4999306	-0.0861689	0.02500642	
0.0416	0.7884444	0.4999306	-0.08612029	0.02500642	
0.0418	0.8232176	0.499925	-0.08607181	0.02610303	
0.042	0.8232176	0.499925	-0.08602348	0.02610303	
0.0422	0.8232176	0.499925	-0.08597528	0.02610303	
0.0424	0.8232176	0.499925	-0.08592722	0.02610303	
0.0426	0.8232176	0.499925	-0.0858793	0.02610303	
0.0428	0.8587847	0.499919	-0.08583151	0.02715823	
0.043	0.8587847	0.499919	-0.08578386	0.02715823	
0.0432	0.8587847	0.499919	-0.08573634	0.02715823	
0.0434	0.8587847	0.499919	-0.08568896	0.02715823	
0.0436	0.8587847	0.499919	-0.08564172	0.02715823	
0.0438	0.8951453	0.4999126	-0.08559461	0.02820582	
0.044	0.8951453	0.4999126	-0.08554764	0.02820582	
0.0442	0.8951453	0.4999126	-0.0855008	0.02820582	
0.0444	0.8951453	0.4999126	-0.08545409	0.02820582	
0.0446	0.8951453	0.4999126	-0.08540752	0.02820582	
0.0448	0.9322969	0.4999057	-0.08536108	0.02921973	
0.045	0.9322969	0.4999057	-0.08531477	0.02921973	
0.0452	0.9322969	0.4999057	-0.08526859	0.02921973	
0.0454	0.9322969	0.4999057	-0.08522255	0.02921973	
0.0456	0.9322969	0.4999057	-0.08517663	0.02921973	
0.0458	0.9702373	0.4998986	-0.08513086	0.03024863	
0.046	0.9702373	0.4998986	-0.0850852	0.03024863	
0.0462	0.9702373	0.4998986	-0.08503968	0.03024863	
0.0464	0.9702373	0.4998986	-0.08499429	0.03024863	
0.0466	0.9702373	0.4998986	-0.08494902	0.03024863	
0.0468	1.008965	0.499891	-0.0849039	0.03125139	
0.047	1.008965	0.499891	-0.08485889	0.03125139	
0.0472	1.008965	0.499891	-0.08481401	0.03125139	
0.0474	1.008965	0.499891	-0.08476926	0.03125139	
0.0476	1.008965	0.499891	-0.08472465	0.03125139	
0.0478	1.048475	0.4998831	-0.08468015	0.03227658	
0.048	1.048475	0.4998831	-0.08463579	0.03227658	
0.0482	1.048475	0.4998831	-0.08459155	0.03227658	
0.0484	1.048475	0.4998831	-0.08454744	0.03227658	
0.0486	1.048475	0.4998831	-0.08450345	0.03227658	
0.0488	1.088763	0.4998749	-0.08445959	0.03331283	
0.049	1.088763	0.4998749	-0.08441585	0.03331283	
0.0492	1.088763	0.4998749	-0.08437224	0.03331283	
0.0494	1.088763	0.4998749	-0.08432876	0.03331283	
0.0496	1.088763	0.4998749	-0.08428539	0.03331283	
0.0498	1.129828	0.4998662	-0.08424215	0.03436374	
0.05	1.129828	0.4998662	-0.08419903	0.03436374	
0.0502	1.129828	0.4998662	-0.08415604	0.03436374	
0.0504	1.129828	0.4998662	-0.08411317	0.03436374	
0.0506	1.129828	0.4998662	-0.08407042	0.03436374	
0.0508	1.171662	0.4998573	-0.0840278	0.03544774	
0.051	1.171662	0.4998573	-0.08398529	0.03544774	
0.0512	1.171662	0.4998573	-0.08394291	0.03544774	
0.0514	1.171662	0.4998573	-0.08390065	0.03544774	
0.0516	1.171662	0.4998573	-0.0838585	0.03544774	
0.0518	1.214261	0.499848	-0.08381648	0.03656826	
0.052	1.214261	0.499848	-0.08377458	0.03656826	
0.0522	1.214261	0.499848	-0.0837328	0.03656826	
0.0524	1.214261	0.499848	-0.08369114	0.03656826	
