Time	Child_Y	Joint_Y	Root_Y	
0	3	3.1	1	
0.0005	2.999998	3.099998	0.9999976	
0.001	2.999993	3.099993	0.9999927	
0.0015	2.999985	3.099985	0.9999853	
0.002	2.999975	3.099975	0.9999755	
0.0025	2.999963	3.099963	0.9999632	
0.003	2.999949	3.099949	0.9999485	
0.0035	2.999931	3.099931	0.9999313	
0.004	2.999912	3.099912	0.9999117	
0.0045	2.99989	3.09989	0.9998897	
0.005	2.999865	3.099865	0.9998652	
0.0055	2.999838	3.099838	0.9998382	
0.006	2.999809	3.099809	0.9998087	
0.0065	2.999777	3.099777	0.9997768	
0.007	2.999743	3.099743	0.9997425	
0.0075	2.999706	3.099706	0.9997057	
0.008	2.999666	3.099666	0.9996665	
0.0085	2.999625	3.099625	0.9996247	
0.009000001	2.999581	3.099581	0.9995807	
0.009500001	2.999534	3.099534	0.9995341	
0.01	2.999485	3.099485	0.999485	
0.0105	2.999434	3.099434	0.9994335	
0.011	2.99938	3.09938	0.9993796	
0.0115	2.999323	3.099323	0.9993231	
0.012	2.999264	3.099264	0.9992642	
0.0125	2.999203	3.099203	0.9992029	
0.013	2.999139	3.099139	0.9991392	
0.0135	2.999073	3.099073	0.999073	
0.014	2.999004	3.099005	0.9990043	
0.0145	2.998933	3.098933	0.9989331	
0.015	2.99886	3.09886	0.9988596	
0.0155	2.998784	3.098783	0.9987836	
0.016	2.998705	3.098705	0.9987051	
0.0165	2.998624	3.098624	0.9986241	
0.017	2.998541	3.098541	0.9985408	
0.0175	2.998455	3.098455	0.998455	
0.018	2.998367	3.098366	0.9983667	
0.0185	2.998276	3.098276	0.9982759	
0.019	2.998183	3.098183	0.9981827	
0.0195	2.998087	3.098087	0.998087	
0.02	2.997989	3.097989	0.997989	
0.0205	2.997888	3.097888	0.9978884	
0.021	2.997785	3.097785	0.9977854	
0.0215	2.99768	3.09768	0.9976799	
0.022	2.997572	3.097572	0.9975721	
0.0225	2.997462	3.097462	0.9974617	
0.023	2.997349	3.097349	0.9973489	
0.0235	2.997234	3.097234	0.9972336	
0.024	2.997116	3.097116	0.9971159	
0.0245	2.996996	3.096996	0.9969956	
0.025	2.996873	3.096873	0.9968731	
0.0255	2.996748	3.096748	0.996748	
0.026	2.99662	3.09662	0.9966205	
0.0265	2.99649	3.096491	0.9964905	
0.027	2.996358	3.096358	0.996358	
0.0275	2.996223	3.096223	0.9962232	
0.028	2.996086	3.096086	0.9960858	
0.0285	2.995946	3.095946	0.995946	
0.029	2.995804	3.095804	0.9958038	
0.0295	2.995659	3.095659	0.9956591	
0.03	2.995512	3.095512	0.9955119	
0.0305	2.995362	3.095362	0.9953623	
0.031	2.99521	3.09521	0.9952103	
0.0315	2.995056	3.095056	0.9950558	
0.032	2.994899	3.094899	0.9948988	
0.0325	2.994739	3.094739	0.9947394	
0.033	2.994578	3.094578	0.9945775	
0.0335	2.994413	3.094413	0.9944132	
0.034	2.994246	3.094247	0.9942464	
0.0345	2.994077	3.094077	0.9940772	
0.035	2.993906	3.093905	0.9939055	
0.0355	2.993731	3.093732	0.9937314	
0.036	2.993555	3.093555	0.9935548	
0.0365	2.993376	3.093376	0.9933758	
0.037	2.993194	3.093194	0.9931943	
0.0375	2.99301	3.09301	0.9930103	
0.038	2.992824	3.092824	0.992824	
0.0385	2.992635	3.092635	0.9926352	
0.039	2.992444	3.092444	0.9924439	
0.0395	2.99225	3.09225	0.9922501	
0.04	2.992054	3.092054	0.9920539	
0.0405	2.991855	3.091855	0.9918553	
0.041	2.991654	3.091654	0.9916541	
0.0415	2.991451	3.09145	0.9914506	
0.042	2.991245	3.091244	0.9912446	
0.0425	2.991036	3.091036	0.9910361	
0.043	2.990825	3.090825	0.9908252	
0.0435	2.990612	3.090612	0.9906119	
0.044	2.990396	3.090396	0.990396	
0.0445	2.990178	3.090178	0.9901778	
0.045	2.989957	3.089957	0.989957	
0.0455	2.989734	3.089734	0.9897338	
0.046	2.989508	3.089508	0.9895083	
0.0465	2.98928	3.08928	0.9892802	
0.047	2.98905	3.08905	0.9890496	
0.0475	2.988817	3.088817	0.9888167	
0.048	2.988581	3.088581	0.9885812	
0.0485	2.988343	3.088343	0.9883432	
0.049	2.988103	3.088103	0.9881029	
0.0495	2.98786	3.08786	0.9878601	
0.05	2.987615	3.087615	0.9876149	
0.0505	2.987367	3.087367	0.9873672	
0.051	2.987117	3.087117	0.987117	
0.0515	2.986865	3.086864	0.9868644	
