Time	Body_X	Body_Y	Body_Z	Joint_1	
0	0	0	-0.02	0	
0.0002	0	0	-0.02	-5.689478E-10	
0.0004	0	-3.924E-07	-0.02	-5.689478E-10	
0.0006	-1.638756E-10	-1.117663E-06	-0.02	-0.003070075	
0.0008	-3.993031E-10	-2.209347E-06	-0.02	-0.007479818	
0.0009999999	-7.069224E-10	-3.667235E-06	-0.02	-0.01324039	
0.0012	-1.08727E-09	-5.491153E-06	-0.02	-0.02036073	
0.0014	-1.540805E-09	-7.680964E-06	-0.02	-0.02884798	
0.0016	-2.067924E-09	-1.023655E-05	-0.02	-0.03870785	
0.0018	-2.668979E-09	-1.315784E-05	-0.01999999	-0.04994492	
0.002	-3.344291E-09	-1.644474E-05	-0.01999999	-0.06256285	
0.0022	-4.094157E-09	-2.009721E-05	-0.01999999	-0.07656455	
0.0024	-4.918858E-09	-2.41152E-05	-0.01999998	-0.09195239	
0.0026	-5.818633E-09	-2.849867E-05	-0.01999998	-0.1087282	
0.0028	-6.793758E-09	-3.324758E-05	-0.01999996	-0.1268935	
0.003	-7.84454E-09	-3.836193E-05	-0.01999995	-0.1464495	
0.0032	-8.97125E-09	-4.384168E-05	-0.01999994	-0.1673972	
0.0034	-1.017416E-08	-4.968681E-05	-0.01999992	-0.1897372	
0.0036	-1.145353E-08	-5.589732E-05	-0.0199999	-0.2134704	
0.0038	-1.280968E-08	-6.247318E-05	-0.01999987	-0.238597	
0.004	-1.424292E-08	-6.94144E-05	-0.01999984	-0.2651175	
0.0042	-1.575357E-08	-7.672097E-05	-0.01999981	-0.2930322	
0.0044	-1.734191E-08	-8.439286E-05	-0.01999977	-0.3223414	
0.0046	-1.900832E-08	-9.243005E-05	-0.01999972	-0.3530453	
0.0048	-2.075314E-08	-0.0001008326	-0.01999967	-0.3851439	
0.005	-2.257675E-08	-0.0001096004	-0.01999961	-0.4186375	
0.0052	-2.447956E-08	-0.0001187335	-0.01999954	-0.4535262	
0.0054	-2.646194E-08	-0.0001282319	-0.01999946	-0.4898098	
0.0056	-2.852428E-08	-0.0001380955	-0.01999938	-0.5274887	
0.0058	-3.066704E-08	-0.0001483244	-0.01999928	-0.5665628	
0.006	-3.289067E-08	-0.0001589185	-0.01999917	-0.6070322	
0.0062	-3.519562E-08	-0.0001698779	-0.01999905	-0.6488969	
0.0064	-3.758232E-08	-0.0001812024	-0.01999892	-0.6921568	
0.0066	-4.00513E-08	-0.0001928921	-0.01999878	-0.736812	
0.0068	-4.260307E-08	-0.000204947	-0.01999862	-0.7828625	
0.007	-4.523813E-08	-0.000217367	-0.01999844	-0.8303084	
0.0072	-4.795702E-08	-0.0002301522	-0.01999826	-0.8791495	
0.0074	-5.076026E-08	-0.0002433024	-0.01999805	-0.9293857	
0.0076	-5.364844E-08	-0.0002568176	-0.01999783	-0.9810174	
0.0078	-5.662215E-08	-0.0002706979	-0.01999758	-1.034044	
