Time	Arm_X	Arm_Y	Arm_Z	JointVelocity	Rotation	
0	0.125	-0.075	0	0	0	
0.0005	0.125	-0.075	0	-2.002557E-12	-5.736903E-14	
0.001	0.125	-0.07500245	0	0	-5.736903E-14	
0.0015	0.125	-0.07500615	-8.531649E-10	0.06702979	0.001920262	
0.002	0.125	-0.07501166	-2.054801E-09	0.09440478	0.00462476	
0.0025	0.125	-0.07501897	-3.608124E-09	0.1220285	0.008120621	
0.003	0.125	-0.07502808	-5.516041E-09	0.14987	0.01241408	
0.0035	0.125	-0.075039	-7.780399E-09	0.1778513	0.01750915	
0.004	0.125	-0.07505172	-1.040299E-08	0.2059727	0.02340983	
0.0045	0.125	-0.07506622	-1.338531E-08	0.2342029	0.03011925	
0.005	0.125	-0.07508253	-1.672869E-08	0.2625263	0.03764008	
0.0055	0.125	-0.07510063	-2.043406E-08	0.2909121	0.04597409	
0.006	0.1249999	-0.07512053	-2.450217E-08	0.3193446	0.05512264	
0.0065	0.1249999	-0.07514221	-2.893406E-08	0.3478385	0.06508748	
0.007	0.1249999	-0.07516569	-3.372997E-08	0.3763488	0.07586908	
0.0075	0.1249999	-0.07519096	-3.889038E-08	0.4048748	0.08746789	
0.008	0.1249998	-0.07521802	-4.441611E-08	0.4334468	0.09988523	
0.0085	0.1249998	-0.07524688	-5.03074E-08	0.4620186	0.1131211	
0.009000001	0.1249997	-0.07527753	-5.656477E-08	0.4906063	0.1271759	
0.009500001	0.1249996	-0.07530996	-6.31888E-08	0.5192254	0.1420506	
0.01	0.1249995	-0.0753442	-7.017965E-08	0.547829	0.1577448	
0.0105	0.1249994	-0.07538021	-7.753791E-08	0.5764635	0.1742592	
0.011	0.1249993	-0.07541803	-8.526372E-08	0.6050826	0.1915936	
0.0115	0.1249992	-0.07545763	-9.335774E-08	0.6337324	0.2097487	
0.012	0.124999	-0.07549902	-1.018202E-07	0.662365	0.228724	
0.0125	0.1249988	-0.0755422	-1.106513E-07	0.6909854	0.2485193	
0.013	0.1249986	-0.07558718	-1.198517E-07	0.7196339	0.2691353	
0.0135	0.1249984	-0.07563394	-1.294217E-07	0.7482692	0.2905716	
0.014	0.1249982	-0.07568249	-1.393619E-07	0.7769176	0.3128287	
0.0145	0.1249979	-0.07573283	-1.496724E-07	0.805553	0.3359061	
0.015	0.1249976	-0.07578497	-1.603538E-07	0.8341995	0.3598042	
0.0155	0.1249972	-0.07583889	-1.714069E-07	0.8628517	0.384523	
0.016	0.1249969	-0.07589462	-1.828316E-07	0.8914871	0.4100623	
0.0165	0.1249964	-0.07595212	-1.946289E-07	0.9201317	0.4364221	
0.017	0.124996	-0.07601141	-2.06799E-07	0.948783	0.4636027	
0.0175	0.1249955	-0.07607251	-2.193426E-07	0.9774323	0.4916041	
0.018	0.1249949	-0.07613538	-2.322601E-07	1.00608	0.5204262	
0.0185	0.1249943	-0.07620005	-2.455521E-07	1.034729	0.550069	
