Time	FF	Vm	Ie	
0	0	-0.07	0	
0.002	0	-0.07	0	
0.004	0	-0.07	0	
0.006	0	-0.07	0	
0.008	0	-0.07	0	
0.01	0	-0.07	0	
0.012	0	-0.07	0	
0.014	0	-0.07	0	
0.016	0	-0.07	0	
0.018	0	-0.07	0	
0.02	0	-0.07	0	
0.022	0	-0.07	0	
0.024	0	-0.07	0	
0.026	0	-0.07	0	
0.028	0	-0.07	0	
0.03	0	-0.07	0	
0.032	0	-0.07	0	
0.034	0	-0.07	0	
0.036	0	-0.07	0	
0.038	0	-0.07	0	
0.04	0	-0.07	0	
0.042	0	-0.07	0	
0.044	0	-0.07	0	
0.046	0	-0.07	0	
0.048	0	-0.07	0	
0.05	0	-0.07	0	
0.052	0	-0.07	0	
0.054	0	-0.07	0	
0.056	0	-0.07	0	
0.058	0	-0.07	0	
0.06	0	-0.07	0	
0.062	0	-0.07	0	
0.064	0	-0.07	0	
0.066	0	-0.07	0	
0.068	0	-0.07	0	
0.07	0	-0.07	0	
0.072	0	-0.07	0	
0.074	0	-0.07	0	
0.07600001	0	-0.07	0	
0.078	0	-0.07	0	
0.08000001	0	-0.07	0	
0.082	0	-0.07	0	
0.08400001	0	-0.07	0	
0.086	0	-0.07	0	
0.08800001	0	-0.07	0	
0.09	0	-0.07	0	
0.09200001	0	-0.07	0	
0.094	0	-0.07	0	
0.096	0	-0.07	0	
0.098	0	-0.07	0	
0.1	0	-0.07	-4E-09	
0.102	0	-0.07266667	-4E-09	
0.104	0	-0.07515556	-4E-09	
0.106	0	-0.07747852	-4E-09	
0.108	0	-0.07964662	-4E-09	
0.11	0	-0.08167018	-4E-09	
0.112	0	-0.08355884	-4E-09	
0.114	0	-0.08532158	-4E-09	
0.116	0	-0.08696681	-4E-09	
0.118	0	-0.08850235	-4E-09	
0.12	0	-0.08993553	-4E-09	
0.122	0	-0.09127316	-4E-09	
0.124	0	-0.09252162	-4E-09	
0.126	0	-0.09368684	-4E-09	
0.128	0	-0.09477439	-4E-09	
0.13	0	-0.09578943	-4E-09	
0.132	0	-0.0967368	-4E-09	
0.134	0	-0.09762101	-4E-09	
0.136	0	-0.09844628	-4E-09	
0.138	0	-0.09921653	-4E-09	
0.14	0	-0.09993543	-4E-09	
0.142	0	-0.1006064	-4E-09	
0.144	0	-0.1012326	-4E-09	
0.146	0	-0.1018171	-4E-09	
0.148	0	-0.1023626	-4E-09	
0.15	0	-0.1028718	-4E-09	
0.152	0	-0.103347	-4E-09	
0.154	0	-0.1037906	-4E-09	
0.156	0	-0.1042045	-4E-09	
0.158	0	-0.1045909	-4E-09	
0.16	0	-0.1049515	-4E-09	
0.162	0	-0.1052881	-4E-09	
0.164	0	-0.1056022	-4E-09	
0.166	0	-0.1058954	-4E-09	
0.168	0	-0.106169	-4E-09	
0.17	0	-0.1064244	-4E-09	
0.172	0	-0.1066628	-4E-09	
0.174	0	-0.1068853	-4E-09	
0.176	0	-0.1070929	-4E-09	
0.178	0	-0.1072867	-4E-09	
0.18	0	-0.1074676	-4E-09	
0.182	0	-0.1076364	-4E-09	
0.184	0	-0.107794	-4E-09	
0.186	0	-0.1079411	-4E-09	
0.188	0	-0.1080783	-4E-09	
0.19	0	-0.1082064	-4E-09	
0.192	0	-0.108326	-4E-09	
0.194	0	-0.1084376	-4E-09	
0.196	0	-0.1085418	-4E-09	
0.198	0	-0.108639	-4E-09	
0.2	0	-0.1087297	0	
0.202	0	-0.1061477	0	
0.204	0	-0.1037379	0	
0.206	0	-0.1014887	0	
0.208	0	-0.09938945	0	
0.21	0	-0.09743015	0	
0.212	0	-0.09560148	0	
0.214	0	-0.09389471	0	
0.216	0	-0.09230173	0	
0.218	0	-0.09081495	0	
0.22	0	-0.08942728	0	
0.222	0	-0.08813213	0	
0.224	0	-0.08692332	0	
0.226	0	-0.0857951	0	
0.228	0	-0.0847421	0	
0.23	0	-0.08375929	0	
0.232	0	-0.08284201	0	
0.234	0	-0.08198587	0	
0.236	0	-0.08118682	0	
0.238	0	-0.08044103	0	
0.24	0	-0.07974496	0	
0.242	0	-0.07909529	0	
0.244	0	-0.07848894	0	
0.246	0	-0.07792301	0	
0.248	0	-0.07739481	0	
0.25	0	-0.07690182	0	
0.252	0	-0.07644171	0	
0.254	0	-0.07601225	0	
0.256	0	-0.07561143	0	
0.258	0	-0.07523734	0	
0.26	0	-0.07488818	0	
0.262	0	-0.0745623	0	
0.264	0	-0.07425816	0	
0.266	0	-0.07397427	0	
0.268	0	-0.07370932	0	
0.27	0	-0.07346204	0	
0.272	0	-0.07323124	0	
0.274	0	-0.07301582	0	
0.276	0	-0.07281476	0	
0.278	0	-0.07262711	0	
0.28	0	-0.07245197	0	
0.282	0	-0.07228851	0	
0.284	0	-0.07213594	0	
0.286	0	-0.07199354	0	
0.288	0	-0.07186064	0	
0.29	0	-0.0717366	0	
0.292	0	-0.07162082	0	
0.294	0	-0.07151277	0	
0.296	0	-0.07141192	0	
0.298	0	-0.07131779	0	
0.3	0	-0.07122993	2E-09	
0.302	0.002780876	-0.06981461	2E-09	
0.304	0.02259549	-0.06849363	2E-09	
0.306	0.04108912	-0.06726073	2E-09	
0.308	0.05834985	-0.06611001	2E-09	
0.31	0.07445986	-0.06503601	2E-09	
0.312	0.08949587	-0.06403361	2E-09	
0.314	0.1035295	-0.06309804	2E-09	
0.316	0.1166275	-0.06222483	2E-09	
0.318	0.1288524	-0.06140984	2E-09	
0.32	0.1402622	-0.06064919	2E-09	
0.322	0.1509114	-0.05993924	2E-09	
0.324	0.1608506	-0.05927663	2E-09	
0.326	0.1701273	-0.05865818	2E-09	
0.328	0.1787854	-0.05808097	2E-09	
0.33	0.1868664	-0.05754224	2E-09	
0.332	0.1944087	-0.05703942	2E-09	
0.334	0.2014481	-0.05657013	2E-09	
0.336	0.2080182	-0.05613212	2E-09	
0.338	0.2141503	-0.05572331	2E-09	
0.34	0.2198737	-0.05534176	2E-09	
0.342	0.2252154	-0.05498564	2E-09	
0.344	0.2302011	-0.05465326	2E-09	
0.346	0.2348543	-0.05434304	2E-09	
0.348	0.2391974	-0.05405351	2E-09	
0.35	0.2432509	-0.05378328	2E-09	
0.352	0.2470342	-0.05353106	2E-09	
0.354	0.2505652	-0.05329565	2E-09	
0.356	0.2538609	-0.05307594	2E-09	
0.358	0.2569368	-0.05287088	2E-09	
0.36	0.2598077	-0.05267949	2E-09	
0.362	0.2624872	-0.05250086	2E-09	
0.364	0.264988	-0.05233413	2E-09	
0.366	0.2673222	-0.05217852	2E-09	
0.368	0.2695007	-0.05203329	2E-09	
0.37	0.271534	-0.05189773	2E-09	
0.372	0.2734317	-0.05177122	2E-09	
0.374	0.2752029	-0.05165314	2E-09	
0.376	0.2768561	-0.05154293	2E-09	
0.378	0.278399	-0.05144007	2E-09	
0.38	0.2798391	-0.05134406	2E-09	
0.382	0.2811831	-0.05125446	2E-09	
0.384	0.2824376	-0.05117083	2E-09	
0.386	0.2836084	-0.05109277	2E-09	
0.388	0.2847012	-0.05101992	2E-09	
0.39	0.2857211	-0.05095193	2E-09	
0.392	0.286673	-0.05088846	2E-09	
0.394	0.2875615	-0.05082924	2E-09	
0.396	0.2883907	-0.05077396	2E-09	
0.398	0.2891647	-0.05072236	2E-09	
0.4	0.289887	-0.0506742	0	
0.402	0.2705612	-0.05196258	0	
0.404	0.2525238	-0.05316508	0	
0.406	0.2356889	-0.05428741	0	
0.408	0.2199763	-0.05533491	0	
0.41	0.2053112	-0.05631259	0	
0.412	0.1916238	-0.05722508	0	
0.414	0.1788489	-0.05807674	0	
