Time	FF	Vm	Ie	
0	0	0	0	
0.002	0	0	0	
0.004	0	0	0	
0.006	0	0	0	
0.008	0	0	0	
0.01	0	0	0	
0.012	0	0	0	
0.014	0	0	0	
0.016	0	0	0	
0.018	0	0	0	
0.02	0	0	0	
0.022	0	0	0	
0.024	0	0	0	
0.026	0	0	0	
0.028	0	0	0	
0.03	0	0	0	
0.032	0	0	0	
0.034	0	0	0	
0.036	0	0	0	
0.038	0	0	0	
0.04	0	0	0	
0.042	0	0	0	
0.044	0	0	0	
0.046	0	0	0	
0.048	0	0	0	
0.05	0	0	0	
0.052	0	0	0	
0.054	0	0	0	
0.056	0	0	0	
0.058	0	0	0	
0.06	0	0	0	
0.062	0	0	0	
0.064	0	0	0	
0.066	0	0	0	
0.068	0	0	0	
0.07	0	0	0	
0.072	0	0	0	
0.074	0	0	0	
0.07600001	0	0	0	
0.078	0	0	0	
0.08000001	0	0	0	
0.082	0	0	0	
0.08400001	0	0	0	
0.086	0	0	0	
0.08800001	0	0	0	
0.09	0	0	0	
0.09200001	0	0	0	
0.094	0	0	0	
0.096	0	0	0	
0.098	0	0	0	
0.1	0	0	-4E-09	
0.102	0	-0.002666667	-4E-09	
0.104	0	-0.005155556	-4E-09	
0.106	0	-0.007478519	-4E-09	
0.108	0	-0.009646619	-4E-09	
0.11	0	-0.01167018	-4E-09	
0.112	0	-0.01355883	-4E-09	
0.114	0	-0.01532158	-4E-09	
0.116	0	-0.0169668	-4E-09	
0.118	0	-0.01850235	-4E-09	
0.12	0	-0.01993553	-4E-09	
0.122	0	-0.02127316	-4E-09	
0.124	0	-0.02252162	-4E-09	
0.126	0	-0.02368684	-4E-09	
0.128	0	-0.02477439	-4E-09	
0.13	0	-0.02578943	-4E-09	
0.132	0	-0.0267368	-4E-09	
0.134	0	-0.02762101	-4E-09	
0.136	0	-0.02844628	-4E-09	
0.138	0	-0.02921653	-4E-09	
0.14	0	-0.02993543	-4E-09	
0.142	0	-0.0306064	-4E-09	
0.144	0	-0.03123264	-4E-09	
0.146	0	-0.03181713	-4E-09	
0.148	0	-0.03236265	-4E-09	
0.15	0	-0.03287181	-4E-09	
0.152	0	-0.03334702	-4E-09	
0.154	0	-0.03379055	-4E-09	
0.156	0	-0.03420452	-4E-09	
0.158	0	-0.03459088	-4E-09	
0.16	0	-0.03495149	-4E-09	
0.162	0	-0.03528806	-4E-09	
0.164	0	-0.03560219	-4E-09	
0.166	0	-0.03589537	-4E-09	
0.168	0	-0.03616901	-4E-09	
0.17	0	-0.03642441	-4E-09	
0.172	0	-0.03666279	-4E-09	
0.174	0	-0.03688527	-4E-09	
0.176	0	-0.03709292	-4E-09	
0.178	0	-0.03728672	-4E-09	
0.18	0	-0.03746761	-4E-09	
0.182	0	-0.03763643	-4E-09	
0.184	0	-0.03779401	-4E-09	
0.186	0	-0.03794107	-4E-09	
0.188	0	-0.03807833	-4E-09	
0.19	0	-0.03820644	-4E-09	
0.192	0	-0.03832601	-4E-09	
0.194	0	-0.03843761	-4E-09	
0.196	0	-0.03854177	-4E-09	
0.198	0	-0.03863899	-4E-09	
0.2	0	-0.03872972	0	
0.202	0	-0.03614774	0	
0.204	0	-0.03373789	0	
0.206	0	-0.0314887	0	
0.208	0	-0.02938945	0	
0.21	0	-0.02743015	0	
0.212	0	-0.02560148	0	
0.214	0	-0.02389471	0	
0.216	0	-0.02230173	0	
0.218	0	-0.02081495	0	
0.22	0	-0.01942728	0	
0.222	0	-0.01813213	0	
0.224	0	-0.01692332	0	
0.226	0	-0.0157951	0	
0.228	0	-0.0147421	0	
0.23	0	-0.01375929	0	
0.232	0	-0.012842	0	
0.234	0	-0.01198587	0	
0.236	0	-0.01118681	0	
0.238	0	-0.01044102	0	
0.24	0	-0.009744956	0	
0.242	0	-0.009095293	0	
0.244	0	-0.00848894	0	
0.246	0	-0.007923011	0	
0.248	0	-0.00739481	0	
0.25	0	-0.006901823	0	
0.252	0	-0.006441701	0	
0.254	0	-0.006012254	0	
0.256	0	-0.005611437	0	
0.258	0	-0.005237341	0	
0.26	0	-0.004888185	0	
0.262	0	-0.004562306	0	
0.264	0	-0.004258153	0	
0.266	0	-0.003974276	0	
0.268	0	-0.003709324	0	
0.27	0	-0.003462036	0	
0.272	0	-0.003231233	0	
0.274	0	-0.003015818	0	
0.276	0	-0.002814763	0	
0.278	0	-0.002627112	0	
0.28	0	-0.002451971	0	
0.282	0	-0.002288506	0	
0.284	0	-0.002135939	0	
0.286	0	-0.001993543	0	
0.288	0	-0.00186064	0	
0.29	0	-0.001736598	0	
0.292	0	-0.001620824	0	
0.294	0	-0.001512769	0	
0.296	0	-0.001411918	0	
0.298	0	-0.00131779	0	
0.3	0	-0.001229938	2E-09	
0.302	0	0.0001853917	2E-09	
0.304	0	0.001506366	2E-09	
0.306	0	0.002739275	2E-09	
0.308	0	0.00388999	2E-09	
0.31	0	0.004963991	2E-09	
0.312	0	0.005966391	2E-09	
0.314	0	0.006901965	2E-09	
0.316	0	0.007775168	2E-09	
0.318	0	0.008590157	2E-09	
0.32	0	0.009350813	2E-09	
0.322	0	0.01006076	2E-09	
0.324	0	0.01072338	2E-09	
0.326	0	0.01134182	2E-09	
0.328	0	0.01191903	2E-09	
0.33	0	0.01245776	2E-09	
0.332	0	0.01296058	2E-09	
0.334	0	0.01342987	2E-09	
0.336	0	0.01386788	2E-09	
