Time	Arm_X	Arm_Y	Arm_Z	
0	0.125	-0.075	0	
0.0005	0.125	-0.075	0	
0.001	0.1250009	-0.0750005	0	
0.0015	0.1250027	-0.07500146	0	
0.002	0.1250054	-0.07500286	0	
0.0025	0.1250091	-0.07500471	0	
0.003	0.1250136	-0.07500701	0	
0.0035	0.1250191	-0.07500978	0	
0.004	0.1250255	-0.07501299	0	
0.0045	0.1250329	-0.07501666	0	
0.005	0.1250411	-0.07502078	0	
0.0055	0.1250502	-0.07502537	0	
0.006	0.1250603	-0.07503041	0	
0.0065	0.1250713	-0.0750359	0	
0.007	0.1250832	-0.07504185	0	
0.0075	0.1250961	-0.07504826	0	
0.008	0.1251098	-0.07505513	0	
0.0085	0.1251244	-0.07506245	0	
0.009000001	0.12514	-0.07507022	0	
0.009500001	0.1251565	-0.07507845	0	
0.01	0.1251739	-0.07508714	0	
0.0105	0.1251922	-0.07509627	0	
0.011	0.1252114	-0.07510587	0	
0.0115	0.1252316	-0.07511591	0	
0.012	0.1252526	-0.07512642	0	
0.0125	0.1252746	-0.07513737	0	
0.013	0.1252975	-0.07514878	0	
0.0135	0.1253214	-0.07516064	0	
0.014	0.1253461	-0.07517295	0	
0.0145	0.1253717	-0.07518572	0	
0.015	0.1253983	-0.07519893	0	
0.0155	0.1254258	-0.0752126	0	
0.016	0.1254541	-0.07522672	0	
0.0165	0.1254834	-0.07524129	0	
0.017	0.1255137	-0.0752563	0	
0.0175	0.1255448	-0.07527176	0	
0.018	0.1255768	-0.07528768	0	
0.0185	0.1256098	-0.07530403	0	
0.019	0.1256437	-0.07532084	0	
0.0195	0.1256785	-0.07533809	0	
0.02	0.1257142	-0.07535579	0	
0.0205	0.1257508	-0.07537394	0	
0.021	0.1257883	-0.07539252	0	
0.0215	0.1258268	-0.07541155	0	
0.022	0.1258662	-0.07543103	0	
0.0225	0.1259064	-0.07545094	0	
0.023	0.1259476	-0.0754713	0	
0.0235	0.1259897	-0.0754921	0	
0.024	0.1260328	-0.07551334	0	
0.0245	0.1260767	-0.07553502	0	
0.025	0.1261215	-0.07555714	0	
0.0255	0.1261673	-0.07557969	0	
0.026	0.126214	-0.07560267	0	
0.0265	0.1262615	-0.07562611	0	
0.027	0.12631	-0.07564997	0	
0.0275	0.1263594	-0.07567427	0	
0.028	0.1264098	-0.07569899	0	
0.0285	0.126461	-0.07572416	0	
0.029	0.1265132	-0.07574975	0	
0.0295	0.1265662	-0.07577578	0	
0.03	0.1266202	-0.07580223	0	
0.0305	0.1266751	-0.07582911	0	
0.031	0.1267309	-0.07585642	0	
0.0315	0.1267876	-0.07588416	0	
0.032	0.1268452	-0.07591233	0	
0.0325	0.1269038	-0.07594091	0	
0.033	0.1269632	-0.07596993	0	
0.0335	0.1270236	-0.07599936	0	
0.034	0.1270848	-0.0760292	0	
0.0345	0.127147	-0.07605948	0	
0.035	0.1272101	-0.07609018	0	
0.0355	0.1272741	-0.07612129	0	
0.036	0.127339	-0.07615282	0	
0.0365	0.1274048	-0.07618476	0	
0.037	0.1274716	-0.07621712	0	
0.0375	0.1275392	-0.07624989	0	
0.038	0.1276077	-0.07628307	0	
0.0385	0.1276772	-0.07631667	0	
0.039	0.1277476	-0.07635067	0	
0.0395	0.1278189	-0.07638509	0	
0.04	0.127891	-0.07641991	0	
0.0405	0.1279641	-0.07645514	0	
0.041	0.1280382	-0.07649076	0	
0.0415	0.1281131	-0.0765268	0	
0.042	0.1281889	-0.07656323	0	
0.0425	0.1282656	-0.07660007	0	
0.043	0.1283432	-0.07663731	0	
0.0435	0.1284218	-0.07667493	0	
0.044	0.1285012	-0.07671296	0	
0.0445	0.1285816	-0.07675138	0	
0.045	0.1286629	-0.07679021	0	
0.0455	0.128745	-0.07682941	0	
0.046	0.1288281	-0.07686901	0	
0.0465	0.1289121	-0.076909	0	
0.047	0.128997	-0.07694938	0	
0.0475	0.1290828	-0.07699014	0	
0.048	0.1291694	-0.07703128	0	
0.0485	0.129257	-0.07707281	0	
0.049	0.1293455	-0.07711472	0	
0.0495	0.1294349	-0.07715701	0	
0.05	0.1295253	-0.07719968	0	
0.0505	0.1296165	-0.07724273	0	
0.051	0.1297086	-0.07728615	0	
0.0515	0.1298016	-0.07732996	0	
0.052	0.1298955	-0.07737412	0	
0.0525	0.1299904	-0.07741866	0	
0.053	0.1300861	-0.07746356	0	
0.0535	0.1301827	-0.07750884	0	
0.054	0.1302802	-0.07755448	0	
0.0545	0.1303787	-0.07760048	0	
0.055	0.130478	-0.07764684	0	
0.0555	0.1305782	-0.07769356	0	
0.056	0.1306794	-0.07774064	0	
0.0565	0.1307814	-0.07778808	0	
0.057	0.1308843	-0.07783587	0	
0.0575	0.1309882	-0.07788402	0	
0.058	0.1310929	-0.07793251	0	
0.0585	0.1311985	-0.07798136	0	
0.059	0.1313051	-0.07803056	0	
0.0595	0.1314125	-0.0780801	0	
0.06	0.1315208	-0.07812998	0	
0.0605	0.13163	-0.07818022	0	
0.061	0.1317401	-0.07823078	0	
0.0615	0.1318512	-0.07828169	0	
0.062	0.1319631	-0.07833292	0	
0.0625	0.1320758	-0.0783845	0	
0.063	0.1321895	-0.07843641	0	
0.0635	0.1323041	-0.07848865	0	
0.064	0.1324196	-0.07854121	0	
0.0645	0.132536	-0.07859411	0	
0.06500001	0.1326532	-0.07864732	0	
0.06550001	0.1327714	-0.07870086	0	
0.066	0.1328904	-0.07875472	0	
0.0665	0.1330104	-0.0788089	0	
0.067	0.1331312	-0.0788634	0	
0.0675	0.1332529	-0.07891821	0	
0.068	0.1333756	-0.07897334	0	
0.0685	0.1334991	-0.07902877	0	
0.06900001	0.1336235	-0.07908451	0	
0.06950001	0.1337487	-0.07914056	0	
0.07	0.1338749	-0.07919691	0	
0.0705	0.134002	-0.07925356	0	
0.071	0.1341299	-0.07931052	0	
0.0715	0.1342587	-0.07936777	0	
0.072	0.1343884	-0.07942532	0	
0.07250001	0.134519	-0.07948316	0	
