Time	3	AVm	ArmVisible	Rotation	
0	-0.05	0	0	0	
0.0002	-0.05	0	0	0	
0.0004	-0.05	0	0	0	
0.0006	-0.05	0	0	0	
0.0008	-0.05	0	0	0	
0.0009999999	-0.05	0	0	0	
0.0012	-0.05	0	0	0	
0.0014	-0.05	0	0	0	
0.0016	-0.05	0	0	0	
0.0018	-0.05	0.04	0	-9.07992E-16	
0.002	-0.05	0.04	0	-9.07992E-16	
0.0022	-0.05	0.04	0	-9.07992E-16	
0.0024	-0.05	0.04	0	-9.07992E-16	
0.0026	-0.05	0.04	0	-9.07992E-16	
0.0028	-0.05	0.04	0	-9.07992E-16	
0.003	-0.05	0.04	0	-9.07992E-16	
0.0032	-0.05	0.04	0	-9.07992E-16	
0.0034	-0.05	0.04	0	-9.07992E-16	
0.0036	-0.05	0.04	0	-9.07992E-16	
0.0038	-0.05	0.07839999	0	-2.200484E-05	
0.004	-0.05	0.07839999	0	-2.200484E-05	
0.0042	-0.05	0.07839999	0	-2.200484E-05	
0.0044	-0.05	0.07839999	0	-2.200484E-05	
0.0046	-0.05	0.07839999	0	-2.200484E-05	
0.0048	-0.05	0.07839999	0	-3.272887E-05	
0.005	-0.05	0.07839999	0	-3.272887E-05	
0.0052	-0.05	0.07839999	0	-3.272887E-05	
0.0054	-0.05	0.07839999	0	-3.272887E-05	
0.0056	-0.05	0.07839999	0	-3.272887E-05	
0.0058	-0.05	0.115264	0	-3.058406E-05	
0.006	-0.05	0.115264	0	-3.058406E-05	
0.0062	-0.05	0.115264	0	-3.058406E-05	
0.0064	-0.05	0.115264	0	-3.058406E-05	
0.0066	-0.05	0.115264	0	-3.058406E-05	
0.0068	-0.0499201	0.115264	0	-2.886822E-05	
0.007	-0.04984552	0.115264	0	-2.886822E-05	
0.0072	-0.04977591	0.115264	0	-2.886822E-05	
0.0074	-0.04971094	0.115264	0	-2.886822E-05	
0.0076	-0.04965028	0.115264	0	-2.886822E-05	
0.0078	-0.04959365	0.1506534	0	-2.749554E-05	
0.007999999	-0.04954078	0.1506534	0	-2.749554E-05	
0.0082	-0.04949141	0.1506534	0	-2.749554E-05	
0.0084	-0.04944532	0.1506534	0	-2.749554E-05	
0.008599999	-0.04940228	0.1506534	0	-2.749554E-05	
0.0088	-0.04936209	0.1506534	0	-2.63974E-05	
0.009	-0.04932455	0.1506534	0	-2.63974E-05	
0.0092	-0.04928951	0.1506534	0	-2.63974E-05	
0.0094	-0.04925678	0.1506534	0	-2.63974E-05	
0.0096	-0.04922622	0.1506534	0	-2.63974E-05	
0.0098	-0.04919768	0.1846273	0	-2.551889E-05	
0.01	-0.04917104	0.1846273	0	-2.551889E-05	
0.0102	-0.04914616	0.1846273	0	-2.551889E-05	
0.0104	-0.04912293	0.1846273	0	-2.551889E-05	
0.0106	-0.04910125	0.1846273	0	-2.551889E-05	
0.0108	-0.04908101	0.1846273	0	-2.877849E-05	
0.011	-0.04906211	0.1846273	0	-2.877849E-05	
0.0112	-0.04904446	0.1846273	0	-2.877849E-05	
0.0114	-0.049028	0.1846273	0	-2.877849E-05	
0.0116	-0.04901264	0.1846273	0	-2.877849E-05	
0.0118	-0.0489983	0.2172422	0	-2.750906E-05	
0.012	-0.04898493	0.2172422	0	-2.750906E-05	
0.0122	-0.04897245	0.2172422	0	-2.750906E-05	
0.0124	-0.04896081	0.2172422	0	-2.750906E-05	
0.0126	-0.04894996	0.2172422	0	-2.750906E-05	
0.0128	-0.04893984	0.2172422	0	-2.268569E-05	
0.013	-0.0489304	0.2172422	0	-2.268569E-05	
0.0132	-0.04892161	0.2172422	0	-2.268569E-05	
0.0134	-0.04891342	0.2172422	0	-2.268569E-05	
0.0136	-0.04890579	0.2172422	0	-2.268569E-05	
0.0138	-0.04889869	0.2485525	0	-1.532397E-05	
0.014	-0.04889207	0.2485525	0	-1.532397E-05	
0.0142	-0.04888592	0.2485525	0	-1.532397E-05	
0.0144	-0.04888019	0.2485525	0	-1.532397E-05	
0.0146	-0.04887486	0.2485525	0	-1.532397E-05	
0.0148	-0.04886991	0.2485525	0	-6.162883E-06	
0.015	-0.04886531	0.2485525	0	-6.162883E-06	
0.0152	-0.04886104	0.2485525	0	-6.162883E-06	
0.0154	-0.04885707	0.2485525	0	-6.162883E-06	
0.0156	-0.04885339	0.2485525	0	-6.162883E-06	
0.0158	-0.04884999	0.2786104	0	4.270154E-06	
0.016	-0.04884683	0.2786104	0	4.270154E-06	
0.0162	-0.04884391	0.2786104	0	4.270154E-06	
0.0164	-0.0488412	0.2786104	0	4.270154E-06	
0.0166	-0.0488387	0.2786104	0	4.270154E-06	
0.0168	-0.0488364	0.2786104	0	1.559873E-05	
0.017	-0.04883427	0.2786104	0	1.559873E-05	
0.0172	-0.04883231	0.2786104	0	1.559873E-05	
0.0174	-0.04883051	0.2786104	0	1.559873E-05	
0.0176	-0.04871653	0.2786104	0	1.559873E-05	
0.0178	-0.04861028	0.307466	0	2.755395E-05	
0.018	-0.04851123	0.307466	0	2.755395E-05	
0.0182	-0.04841887	0.307466	0	2.755395E-05	
0.0184	-0.04833274	0.307466	0	2.755395E-05	
0.0186	-0.04825242	0.307466	0	2.755395E-05	
0.0188	-0.04817751	0.307466	0	3.994368E-05	
0.019	-0.04810764	0.307466	0	3.994368E-05	
0.0192	-0.04804246	0.307466	0	3.994368E-05	
0.0194	-0.04798167	0.307466	0	3.994368E-05	
0.0196	-0.04792496	0.307466	0	3.994368E-05	
0.0198	-0.04787206	0.3351673	0	5.263054E-05	
0.02	-0.04782271	0.3351673	0	5.263054E-05	
0.0202	-0.04777668	0.3351673	0	5.263054E-05	
0.0204	-0.04773375	0.3351673	0	5.263054E-05	
0.0206	-0.04769371	0.3351673	0	5.263054E-05	
0.0208	-0.04765636	0.3351673	0	6.764828E-05	
0.021	-0.04762153	0.3351673	0	6.764828E-05	
0.0212	-0.04758905	0.3351673	0	6.764828E-05	
0.0214	-0.04755876	0.3351673	0	6.764828E-05	
0.0216	-0.04753052	0.3351673	0	6.764828E-05	
0.0218	-0.0475042	0.3617606	0	9.159136E-05	
0.022	-0.04747967	0.3617606	0	9.159136E-05	
0.0222	-0.04745681	0.3617606	0	9.159136E-05	
0.0224	-0.04743551	0.3617606	0	9.159136E-05	
0.0226	-0.04741567	0.3617606	0	9.159136E-05	
0.0228	-0.0473972	0.3617606	0	0.0001222028	
0.023	-0.04738	0.3617606	0	0.0001222028	
0.0232	-0.04736399	0.3617606	0	0.0001222028	
0.0234	-0.04734909	0.3617606	0	0.0001222028	
0.0236	-0.04733523	0.3617606	0	0.0001222028	
0.0238	-0.04732235	0.3872902	0	0.0001575418	
0.024	-0.04731037	0.3872902	0	0.0001575418	
0.0242	-0.04729925	0.3872902	0	0.0001575418	
0.0244	-0.04728892	0.3872902	0	0.0001575418	
0.0246	-0.04727933	0.3872902	0	0.0001575418	
0.0248	-0.04727044	0.3872902	0	0.000196218	
0.025	-0.04726219	0.3872902	0	0.000196218	
