Time	1	1Ia	2	2Ia	RootY	
0	0	0	0	0	1	
0.001	0	0	0	0	1	
0.002	0	0	0	0	0.9999902	
0.003	0	0	0	0	0.9999706	
0.004	0	0	0	0	0.9999411	
0.005	0	0	0	0	0.9999019	
0.006	0	0	0	0	0.9998528	
0.007	0	0	0	0	0.9997939	
0.008	0	0	0	0	0.9997253	
0.009000001	0	0	0	0	0.9996468	
0.01	0	0	0	0	0.9995585	
0.011	0	0	0	0	0.9994604	
0.012	0	0	0	0	0.9993525	
0.013	0	0	0	0	0.9992348	
0.014	0	0	0	0	0.9991072	
0.015	0	0	0	0	0.9989699	
0.016	0	0	0	0	0.9988227	
0.017	0	0	0	0	0.9986658	
0.018	0	0	0	0	0.998499	
0.019	0	0	0	0	0.9983224	
0.02	0	0	0	0	0.998136	
0.021	0	0	0	0	0.9979398	
0.022	0	0	0	0	0.9977338	
0.023	0	0	0	0	0.997518	
0.024	0	0	0	0	0.9972924	
0.025	0	0	0	0	0.997057	
0.026	0	0	0	0	0.9968117	
0.027	0	0	0	0	0.9965566	
0.028	0	0	0	0	0.9962918	
0.029	0	0	0	0	0.9960171	
0.03	0	0	0	0	0.9957326	
0.031	0	0	0	0	0.9954383	
0.032	0	0	0	0	0.9951342	
0.033	0	0	0	0	0.9948202	
0.034	0	0	0	0	0.9944965	
0.035	0	0	0	0	0.994163	
0.036	0	0	0	0	0.9938197	
0.037	0	0	0	0	0.9934665	
0.038	0	0	0	0	0.9931035	
0.039	0	0	0	0	0.9927307	
0.04	0	0	0	0	0.9923481	
0.041	0	0	0	0	0.9919558	
0.042	0	0	0	0	0.9915535	
0.043	0	0	0	0	0.9911415	
0.044	0	0	0	0	0.9907197	
0.045	0	0	0	0	0.990288	
0.046	0	0	0	0	0.9898466	
0.047	0	0	0	0	0.9893953	
0.048	0	0	0	0	0.9889343	
0.049	0	0	0	0	0.9884634	
0.05	0	0	0	0	0.9879827	
0.051	0	0	0	0	0.9874922	
0.052	0	0	0	0	0.9869919	
0.053	0	0	0	0	0.9864818	
0.054	0	0	0	0	0.9859619	
0.055	0	0	0	0	0.9854321	
0.056	0	0	0	0	0.9848925	
0.057	0	0	0	0	0.9843432	
0.058	0	0	0	0	0.983784	
0.059	0	0	0	0	0.983215	
0.06	0	0	0	0	0.9826363	
0.061	0	0	0	0	0.9820477	
0.062	0	0	0	0	0.9814492	
0.063	0	0	0	0	0.980841	
0.064	0	0	0	0	0.980223	
0.06500001	0	0	0	0	0.9795952	
0.066	0	0	0	0	0.9789575	
0.067	0	0	0	0	0.97831	
0.068	0	0	0	0	0.9776528	
0.06900001	0	0	0	0	0.9769857	
0.07	0	0	0	0	0.9763088	
0.071	0	0	0	0	0.9756221	
0.072	0	0	0	0	0.9749256	
0.07300001	0	0	0	0	0.9742193	
0.074	0	0	0	0	0.9735032	
0.075	0	0	0	0	0.9727772	
0.07600001	0	0	0	0	0.9720415	
0.07700001	0	0	0	0	0.971296	
0.078	0	0	0	0	0.9705406	
0.079	0	0	0	0	0.9697754	
0.08000001	0	0	0	0	0.9690004	
0.081	0	0	0	0	0.9682156	
0.082	0	0	0	0	0.967421	
0.083	0	0	0	0	0.9666166	
0.08400001	0	0	0	0	0.9658024	
0.085	0	0	0	0	0.9649783	
0.086	0	0	0	0	0.9641445	
0.087	0	0	0	0	0.9633008	
0.08800001	0	0	0	0	0.9624473	
0.089	0	0	0	0	0.9615841	
0.09	0	0	0	0	0.960711	
0.09100001	0	0	0	0	0.9598281	
0.09200001	0	0	0	0	0.9589354	
0.093	0	0	0	0	0.9580328	
0.094	0	0	0	0	0.9571205	
0.09500001	0	0	0	0	0.9561984	
0.096	0	0	0	0	0.9552664	
0.097	0	0	0	0	0.9543247	
0.098	0	0	0	0	0.9533731	
0.09900001	0	0	0	0	0.9524117	
0.1	0	0	0	0	0.9514405	
0.101	0	0	0	0	0.9504595	
0.102	0	0	0	0	0.9494687	
0.103	0	0	0	0	0.9484681	
0.104	0	0	0	0	0.9474577	
0.105	0	0	0	0	0.9464374	
0.106	0	0	0	0	0.9454074	
0.107	0	0	0	0	0.9443675	
0.108	0	0	0	0	0.9433178	
0.109	0	0	0	0	0.9422584	
0.11	0	0	0	0	0.9411891	
0.111	0	0	0	0	0.94011	
0.112	0	0	0	0	0.9390211	
0.113	0	0	0	0	0.9379224	
0.114	0	0	0	0	0.9368138	
0.115	0	0	0	0	0.9356955	
0.116	0	0	0	0	0.9345673	
0.117	0	0	0	0	0.9334294	
0.118	0	0	0	0	0.9322816	
0.119	0	0	0	0	0.931124	
0.12	0	0	0	0	0.9299566	
0.121	0	0	0	0	0.9287794	
0.122	0	0	0	0	0.9275924	
0.123	0	0	0	0	0.9263956	
0.124	0	0	0	0	0.925189	
0.125	0	0	0	0	0.9239725	
0.126	0	0	0	0	0.9227463	
0.127	0	0	0	0	0.9215102	
0.128	0	0	0	0	0.9202644	
0.129	0	0	0	0	0.9190087	
0.13	0	0	0	0	0.9177432	
0.131	0	0	0	0	0.9164679	
0.132	0	0	0	0	0.9151828	
0.133	0	0	0	0	0.9138879	
0.134	0	0	0	0	0.9125831	
0.135	0	0	0	0	0.9112686	
0.136	0	0	0	0	0.9099442	
0.137	0	0	0	0	0.9086101	
0.138	0	0	0	0	0.9072661	
0.139	0	0	0	0	0.9059123	
0.14	0	0	0	0	0.9045488	
0.141	0	0	0	0	0.9031754	
0.142	0	0	0	0	0.9017922	
0.143	0	0	0	0	0.9003991	
0.144	0	0	0	0	0.8989963	
0.145	0	0	0	0	0.8975837	
0.146	0	0	0	0	0.8961612	
0.147	0	0	0	0	0.894729	
0.148	0	0	0	0	0.8932869	
0.149	0	0	0	0	0.891835	
0.15	0	0	0	0	0.8903733	
0.151	0	0	0	0	0.8889018	
0.152	0	0	0	0	0.8874205	
0.153	0	0	0	0	0.8859294	
0.154	0	0	0	0	0.8844285	
0.155	0	0	0	0	0.8829178	
0.156	0	0	0	0	0.8813972	
0.157	0	0	0	0	0.8798668	
0.158	0	0	0	0	0.8783267	
0.159	0	0	0	0	0.8767767	
0.16	0	0	0	0	0.8752169	
0.161	0	0	0	0	0.8736473	
0.162	0	0	0	0	0.8720679	
0.163	0	0	0	0	0.8704787	
0.164	0	0	0	0	0.8688797	
0.165	0	0	0	0	0.8672708	
0.166	0	0	0	0	0.8656522	
0.167	0	0	0	0	0.8640237	
0.168	0	0	0	0	0.8623855	
0.169	0	0	0	0	0.8607374	
0.17	0	0	0	0	0.8590795	
0.171	0	0	0	0	0.8574118	
0.172	0	0	0	0	0.8557343	
0.173	0	0	0	0	0.854047	
0.174	0	0	0	0	0.8523499	
0.175	0	0	0	0	0.8506429	
0.176	0	0	0	0	0.8489262	
0.177	0	0	0	0	0.8471996	
0.178	0	0	0	0	0.8454633	
0.179	0	0	0	0	0.8437171	
0.18	0	0	0	0	0.8419611	
0.181	0	0	0	0	0.8401953	
0.182	0	0	0	0	0.8384197	
0.183	0	0	0	0	0.8366343	
0.184	0	0	0	0	0.834839	
0.185	0	0	0	0	0.833034	
0.186	0	0	0	0	0.8312192	
0.187	0	0	0	0	0.8293945	
0.188	0	0	0	0	0.8275601	
0.189	0	0	0	0	0.8257158	
0.19	0	0	0	0	0.8238617	
0.191	0	0	0	0	0.8219978	
0.192	0	0	0	0	0.8201241	
0.193	0	0	0	0	0.8182406	
0.194	0	0	0	0	0.8163472	
0.195	0	0	0	0	0.8144441	
0.196	0	0	0	0	0.8125312	
0.197	0	0	0	0	0.8106084	
0.198	0	0	0	0	0.8086759	
0.199	0	0	0	0	0.8067335	
0.2	0	0	0	0	0.8047813	
0.201	0	0	0	0	0.8028193	
0.202	0	0	0	0	0.8008475	
0.203	0	0	0	0	0.7988659	
0.204	0	0	0	0	0.7968745	
0.205	0	0	0	0	0.7948732	
0.206	0	0	0	0	0.7928622	
0.207	0	0	0	0	0.7908413	
0.208	0	0	0	0	0.7888107	
0.209	0	0	0	0	0.7867702	
0.21	0	0	0	0	0.7847199	
0.211	0	0	0	0	0.7826598	
0.212	0	0	0	0	0.7805899	
0.213	0	0	0	0	0.7785102	
0.214	0	0	0	0	0.7764207	
0.215	0	0	0	0	0.7743214	
0.216	0	0	0	0	0.7722122	
0.217	0	0	0	0	0.7700933	
0.218	0	0	0	0	0.7679645	
0.219	0	0	0	0	0.7658259	
0.22	0	0	0	0	0.7636775	
0.221	0	0	0	0	0.7615193	
0.222	0	0	0	0	0.7593513	
0.223	0	0	0	0	0.7571735	
0.224	0	0	0	0	0.7549859	
0.225	0	0	0	0	0.7527884	
0.226	0	0	0	0	0.7505812	
0.227	0	0	0	0	0.7483642	
0.228	0	0	0	0	0.7461373	
0.229	0	0	0	0	0.7439006	
0.23	0	0	0	0	0.7416541	
0.231	0	0	0	0	0.7393978	
0.232	0	0	0	0	0.7371317	
0.233	0	0	0	0	0.7348558	
0.234	0	0	0	0	0.7325701	
0.235	0	0	0	0	0.7302745	
0.236	0	0	0	0	0.7279692	
0.237	0	0	0	0	0.725654	
0.238	0	0	0	0	0.7233291	
0.239	0	0	0	0	0.7209943	
0.24	0	0	0	0	0.7186497	
0.241	0	0	0	0	0.7162953	
0.242	0	0	0	0	0.7139311	
0.243	0	0	0	0	0.7115571	
0.244	0	0	0	0	0.7091733	
0.245	0	0	0	0	0.7067796	
0.246	0	0	0	0	0.7043762	
0.247	0	0	0	0	0.7019629	
0.248	0	0	0	0	0.6995398	
0.249	0	0	0	0	0.697107	
0.25	0	0	0	0	0.6946643	
0.251	0	0	0	0	0.6922118	
0.252	0	0	0	0	0.6897495	
0.253	0	0	0	0	0.6872774	
0.254	0	0	0	0	0.6847954	
0.255	0	0	0	0	0.6823037	
0.256	0	0	0	0	0.6798022	
0.257	0	0	0	0	0.6772908	
0.258	0	0	0	0	0.6747696	
0.259	0	0	0	0	0.6722386	
0.26	0	0	0	0	0.6696979	
0.261	0	0	0	0	0.6671473	
0.262	0	0	0	0	0.6645869	
0.263	0	0	0	0	0.6620167	
0.264	0	0	0	0	0.6594366	
0.265	0	0	0	0	0.6568468	
0.266	0	0	0	0	0.6542472	
0.267	0	0	0	0	0.6516377	
0.268	0	0	0	0	0.6490185	
0.269	0	0	0	0	0.6463894	
0.27	0	0	0	0	0.6437505	
0.271	0	0	0	0	0.6411018	
0.272	0	0	0	0	0.6384433	
0.273	0	0	0	0	0.635775	
0.274	0	0	0	0	0.6330969	
0.275	0	0	0	0	0.6304089	
0.276	0	0	0	0	0.6277112	
0.277	0	0	0	0	0.6250036	
0.278	0	0	0	0	0.6222863	
0.279	0	0	0	0	0.6195591	
0.28	0	0	0	0	0.6168221	
0.281	0	0	0	0	0.6140753	
0.282	0	0	0	0	0.6113187	
0.283	0	0	0	0	0.6085523	
0.284	0	0	0	0	0.6057761	
0.285	0	0	0	0	0.60299	
0.286	0	0	0	0	0.6001942	
0.287	0	0	0	0	0.5973886	
0.288	0	0	0	0	0.5945731	
0.289	0	0	0	0	0.5917478	
0.29	0	0	0	0	0.5889127	
0.291	0	0	0	0	0.5860679	
0.292	0	0	0	0	0.5832132	
0.293	0	0	0	0	0.5803486	
0.294	0	0	0	0	0.5774743	
0.295	0	0	0	0	0.5745901	
0.296	0	0	0	0	0.5716962	
0.297	0	0	0	0	0.5687925	
0.298	0	0	0	0	0.5658789	
0.299	0	0	0	0	0.5629556	
0.3	0	0	0	0	0.5600224	
0.301	0	0	0	0	0.5570794	
0.302	0	0	0	0	0.5541266	
0.303	0	0	0	0	0.551164	
0.304	0	0	0	0	0.5481915	
0.305	0	0	0	0	0.5452093	
0.306	0	0	0	0	0.5422173	
0.307	0	0	0	0	0.5392154	
0.308	0	0	0	0	0.5362037	
0.309	0	0	0	0	0.5331823	
0.31	0	0	0	0	0.530151	
0.311	0	0	0	0	0.5271099	
0.312	0	0	0	0	0.524059	
0.313	0	0	0	0	0.5209983	
0.314	0	0	0	0	0.5179278	
0.315	0	0	0	0	0.5148475	
0.316	0	0	0	0	0.5117573	
0.317	0	0	0	0	0.5086573	
0.318	0	0	0	0	0.5055476	
0.319	0	7.000013E-08	0	6.241633E-14	0.502428	
0.32	0	7.000013E-08	0	6.241633E-14	0.4995027	
0.321	0.2800005	1.252132E-09	0	3.830301E-16	0.4996042	
0.322	0.2800005	1.252132E-09	0	3.830301E-16	0.4996971	
0.323	0.279409	6.558556E-09	0	2.006278E-15	0.4997827	
0.324	0.279409	6.558556E-09	0	2.006278E-15	0.4998651	
0.325	0.3000551	3.938986E-09	0	1.204945E-15	0.4999408	
0.326	0.3000551	3.938986E-09	0	1.204945E-15	0.5000106	
0.327	0.3098099	3.667561E-09	0	1.121915E-15	0.5000761	
0.328	0.3098099	3.667561E-09	0	1.121915E-15	0.5001354	
0.329	0.318284	4.312588E-09	0	1.319231E-15	0.5001892	
0.33	0.318284	4.312588E-09	0	1.319231E-15	0.5002375	
0.331	0.3291686	4.414956E-09	0	1.350545E-15	0.5002804	
0.332	0.3291686	4.414956E-09	0	1.350545E-15	0.500318	
0.333	0.3402451	4.372746E-09	0	1.337633E-15	0.5003502	
0.334	0.3402451	4.372746E-09	0	1.337633E-15	0.5003769	
0.335	0.3509311	4.266091E-09	0	1.305007E-15	0.5003981	
0.336	0.3509311	4.266091E-09	0	1.305007E-15	0.5004138	
0.337	0.3609769	4.279575E-09	0	1.309132E-15	0.5004239	
