Time	NExternalI	NVm	NFF	
0	0	0	0	
0.002	0	0	0	
0.004	0	0	0	
0.006	0	0	0	
0.008	0	0	0	
0.01	0	0	0	
0.012	0	0	0	
0.014	0	0	0	
0.016	0	0	0	
0.018	0	0	0	
0.02	0	0	0	
0.022	0	0	0	
0.024	0	0	0	
0.026	0	0	0	
0.028	0	0	0	
0.03	0	0	0	
0.032	0	0	0	
0.034	0	0	0	
0.036	0	0	0	
0.038	0	0	0	
0.04	0	0	0	
0.042	0	0	0	
0.044	0	0	0	
0.046	0	0	0	
0.048	0	0	0	
0.05	0	0	0	
0.052	0	0	0	
0.054	0	0	0	
0.056	0	0	0	
0.058	0	0	0	
0.06	0	0	0	
0.062	0	0	0	
0.064	0	0	0	
0.066	0	0	0	
0.068	0	0	0	
0.07	0	0	0	
0.072	0	0	0	
0.074	0	0	0	
0.07600001	0	0	0	
0.078	0	0	0	
0.08000001	0	0	0	
0.082	0	0	0	
0.08400001	0	0	0	
0.086	0	0	0	
0.08800001	0	0	0	
0.09	0	0	0	
0.09200001	0	0	0	
0.094	0	0	0	
0.096	0	0	0	
0.098	0	0	0	
0.1	-4E-09	0	0	
0.102	-4E-09	-0.002666667	0	
0.104	-4E-09	-0.005155556	0	
0.106	-4E-09	-0.007478519	0	
0.108	-4E-09	-0.009646618	0	
0.11	-4E-09	-0.01167018	0	
0.112	-4E-09	-0.01355883	0	
0.114	-4E-09	-0.01532158	0	
0.116	-4E-09	-0.0169668	0	
0.118	-4E-09	-0.01850235	0	
0.12	-4E-09	-0.01993553	0	
0.122	-4E-09	-0.02127316	0	
0.124	-4E-09	-0.02252162	0	
0.126	-4E-09	-0.02368684	0	
0.128	-4E-09	-0.02477439	0	
0.13	-4E-09	-0.02578943	0	
0.132	-4E-09	-0.0267368	0	
0.134	-4E-09	-0.02762101	0	
0.136	-4E-09	-0.02844628	0	
0.138	-4E-09	-0.02921653	0	
0.14	-4E-09	-0.02993543	0	
0.142	-4E-09	-0.0306064	0	
0.144	-4E-09	-0.03123264	0	
0.146	-4E-09	-0.03181713	0	
0.148	-4E-09	-0.03236265	0	
0.15	-4E-09	-0.03287181	0	
0.152	-4E-09	-0.03334702	0	
0.154	-4E-09	-0.03379055	0	
0.156	-4E-09	-0.03420452	0	
0.158	-4E-09	-0.03459088	0	
0.16	-4E-09	-0.03495149	0	
0.162	-4E-09	-0.03528806	0	
0.164	-4E-09	-0.03560219	0	
0.166	-4E-09	-0.03589537	0	
0.168	-4E-09	-0.03616901	0	
0.17	-4E-09	-0.03642441	0	
0.172	-4E-09	-0.03666279	0	
0.174	-4E-09	-0.03688527	0	
0.176	-4E-09	-0.03709292	0	
0.178	-4E-09	-0.03728672	0	
0.18	-4E-09	-0.03746761	0	
0.182	-4E-09	-0.03763643	0	
0.184	-4E-09	-0.03779401	0	
0.186	-4E-09	-0.03794107	0	
0.188	-4E-09	-0.03807833	0	
0.19	-4E-09	-0.03820644	0	
0.192	-4E-09	-0.03832601	0	
0.194	-4E-09	-0.03843761	0	
0.196	-4E-09	-0.03854177	0	
0.198	-4E-09	-0.03863899	0	
0.2	0	-0.03872972	0	
0.202	0	-0.03614774	0	
0.204	0	-0.03373789	0	
0.206	0	-0.0314887	0	
0.208	0	-0.02938945	0	
0.21	0	-0.02743015	0	
0.212	0	-0.02560148	0	
0.214	0	-0.02389471	0	
0.216	0	-0.02230173	0	
0.218	0	-0.02081495	0	
0.22	0	-0.01942728	0	
0.222	0	-0.01813213	0	
0.224	0	-0.01692332	0	
0.226	0	-0.0157951	0	
0.228	0	-0.0147421	0	
0.23	0	-0.01375929	0	
0.232	0	-0.012842	0	
0.234	0	-0.01198587	0	
0.236	0	-0.01118681	0	
0.238	0	-0.01044102	0	
0.24	0	-0.009744956	0	
0.242	0	-0.009095293	0	
0.244	0	-0.00848894	0	
0.246	0	-0.007923011	0	
0.248	0	-0.00739481	0	
0.25	0	-0.006901823	0	
0.252	0	-0.006441701	0	
0.254	0	-0.006012254	0	
0.256	0	-0.005611437	0	
0.258	0	-0.005237341	0	
0.26	0	-0.004888185	0	
0.262	0	-0.004562306	0	
0.264	0	-0.004258153	0	
0.266	0	-0.003974276	0	
0.268	0	-0.003709324	0	
0.27	0	-0.003462036	0	
0.272	0	-0.003231233	0	
0.274	0	-0.003015818	0	
0.276	0	-0.002814763	0	
0.278	0	-0.002627112	0	
0.28	0	-0.002451971	0	
0.282	0	-0.002288506	0	
0.284	0	-0.002135939	0	
0.286	0	-0.001993543	0	
0.288	0	-0.00186064	0	
0.29	0	-0.001736598	0	
0.292	0	-0.001620824	0	
0.294	0	-0.001512769	0	
0.296	0	-0.001411918	0	
0.298	0	-0.00131779	0	
0.3	2E-09	-0.001229938	0	
0.302	2E-09	0.0001853916	0.002780874	
0.304	2E-09	0.001506365	0.02259548	
0.306	2E-09	0.002739274	0.04108912	
0.308	2E-09	0.00388999	0.05834984	
0.31	2E-09	0.00496399	0.07445985	
0.312	2E-09	0.005966391	0.08949587	
0.314	2E-09	0.006901965	0.1035295	
0.316	2E-09	0.007775167	0.1166275	
0.318	2E-09	0.008590156	0.1288523	
0.32	2E-09	0.009350812	0.1402622	
0.322	2E-09	0.01006076	0.1509114	
0.324	2E-09	0.01072337	0.1608506	
0.326	2E-09	0.01134182	0.1701273	
0.328	2E-09	0.01191903	0.1787854	
0.33	2E-09	0.01245776	0.1868664	
