Time	ConeX	ConeY	ConeZ	
0	0	-0.2	0	
0.001	-0.003820969	-0.2	-0.001167982	
0.002	-0.006466323	-0.1999865	-0.001914987	
0.003	-0.00825336	-0.1999431	-0.002276056	
0.004	-0.009640206	-0.1998517	-0.002349693	
0.005	-0.009973062	-0.1998367	-0.002141972	
0.006	-0.01087744	-0.1997027	-0.001862427	
0.007	-0.01157397	-0.1996812	-0.001678846	
0.008	-0.01220982	-0.1995951	-0.001470614	
0.009000001	-0.01271115	-0.1995745	-0.001307124	
0.01	-0.01314816	-0.1995304	-0.001148839	
0.011	-0.01351102	-0.1995121	-0.001005469	
0.012	-0.01381976	-0.1994949	-0.0008721896	
0.013	-0.01408118	-0.1994835	-0.000746984	
0.014	-0.01434291	-0.1994701	-0.0006365591	
0.015	-0.01462191	-0.199454	-0.0005404506	
0.016	-0.01492078	-0.199435	-0.0004573849	
0.017	-0.01523793	-0.1994134	-0.0003860102	
0.018	-0.01557066	-0.1993895	-0.0003249845	
0.019	-0.01591622	-0.1993636	-0.0002730458	
0.02	-0.01627219	-0.199336	-0.0002290154	
0.021	-0.01663733	-0.1993066	-0.0001918176	
0.022	-0.01700938	-0.1992758	-0.000160492	
0.023	-0.01738678	-0.1992437	-0.0001341809	
0.024	-0.01776838	-0.1992104	-0.0001121478	
0.025	-0.01815331	-0.1991759	-9.373598E-05	
0.026	-0.01854087	-0.1991404	-7.837793E-05	
0.027	-0.01893052	-0.1991038	-6.560113E-05	
0.028	-0.01932183	-0.1990663	-5.498877E-05	
0.029	-0.01971444	-0.1990279	-4.618888E-05	
0.03	-0.02010808	-0.1989886	-3.890807E-05	
0.031	-0.02050253	-0.1989484	-3.289816E-05	
0.032	-0.0208976	-0.1989073	-2.794709E-05	
0.033	-0.02129316	-0.1988653	-2.387008E-05	
0.034	-0.02168908	-0.1988225	-2.052266E-05	
0.035	-0.02208528	-0.1987789	-1.777576E-05	
0.036	-0.02248169	-0.1987345	-1.55295E-05	
0.037	-0.02287824	-0.1986892	-1.369892E-05	
0.038	-0.02327489	-0.1986431	-1.220596E-05	
0.039	-0.02367159	-0.1985963	-1.099656E-05	
0.04	-0.02406832	-0.1985486	-1.001907E-05	
0.041	-0.02446504	-0.1985001	-9.233859E-06	
0.042	-0.02486175	-0.1984508	-8.609203E-06	
0.043	-0.02525843	-0.1984007	-8.112995E-06	
0.044	-0.02565504	-0.1983498	-7.722915E-06	
0.045	-0.0260516	-0.1982981	-7.417737E-06	
0.046	-0.02644808	-0.1982456	-7.182166E-06	
0.047	-0.02684449	-0.1981923	-7.003966E-06	
0.048	-0.02724081	-0.1981382	-6.880092E-06	
0.049	-0.02763704	-0.1980833	-6.792934E-06	
0.05	-0.02803317	-0.1980277	-6.73852E-06	
0.051	-0.0284292	-0.1979712	-6.713672E-06	
0.052	-0.02882512	-0.1979139	-6.712477E-06	
0.053	-0.02922094	-0.1978559	-6.728519E-06	
0.054	-0.02961664	-0.197797	-6.763406E-06	
0.055	-0.03001224	-0.1977374	-6.806627E-06	
0.056	-0.03040771	-0.1976769	-6.859886E-06	
0.057	-0.03080307	-0.1976157	-6.917802E-06	
0.058	-0.03119831	-0.1975537	-6.982816E-06	
0.059	-0.03159342	-0.1974909	-7.053507E-06	
0.06	-0.03198842	-0.1974273	-7.128742E-06	
0.061	-0.03238329	-0.1973629	-7.204237E-06	
0.062	-0.03277802	-0.1972978	-7.284999E-06	
0.063	-0.03317263	-0.1972318	-7.373345E-06	
0.064	-0.03356711	-0.197165	-7.461014E-06	
0.06500001	-0.03396146	-0.1970975	-7.551514E-06	
0.066	-0.03435567	-0.1970292	-7.637535E-06	
0.067	-0.03474974	-0.19696	-7.723344E-06	
0.068	-0.03514368	-0.1968901	-7.808982E-06	
0.06900001	-0.03553748	-0.1968194	-7.89954E-06	
0.07	-0.03593114	-0.1967479	-7.988979E-06	
0.071	-0.03632466	-0.1966757	-8.08089E-06	
0.072	-0.03671803	-0.1966026	-8.171411E-06	
0.07300001	-0.03711125	-0.1965288	-8.262501E-06	
0.074	-0.03750433	-0.1964541	-8.357421E-06	
0.075	-0.03789726	-0.1963787	-8.453718E-06	
0.07600001	-0.03829003	-0.1963025	-8.5528E-06	
0.07700001	-0.03868266	-0.1962255	-8.645682E-06	
0.078	-0.03907513	-0.1961477	-8.738662E-06	
0.079	-0.03946745	-0.1960692	-8.83509E-06	
0.08000001	-0.03985961	-0.1959898	-8.930905E-06	
0.081	-0.04025161	-0.1959097	-9.031287E-06	
0.082	-0.04064345	-0.1958288	-9.133636E-06	
0.083	-0.04103513	-0.1957471	-9.237559E-06	
0.08400001	-0.04142664	-0.1956646	-9.344427E-06	
0.085	-0.04181799	-0.1955813	-9.448591E-06	
0.086	-0.04220917	-0.1954973	-9.547222E-06	
0.087	-0.04260019	-0.1954125	-9.644796E-06	
0.08800001	-0.04299103	-0.1953268	-9.746582E-06	
0.089	-0.04338171	-0.1952404	-9.844995E-06	
0.09	-0.04377222	-0.1951533	-9.940707E-06	
0.09100001	-0.04416255	-0.1950653	-1.003426E-05	
0.09200001	-0.0445527	-0.1949766	-1.01244E-05	
0.093	-0.04494268	-0.194887	-1.021518E-05	
0.094	-0.04533248	-0.1947967	-1.030478E-05	
0.09500001	-0.04572209	-0.1947057	-1.039513E-05	
0.096	-0.04611153	-0.1946138	-1.048608E-05	
0.097	-0.04650078	-0.1945212	-1.057919E-05	
0.098	-0.04688985	-0.1944277	-1.067234E-05	
0.09900001	-0.04727874	-0.1943335	-1.076384E-05	
0.1	-0.04766743	-0.1942386	-1.086245E-05	
0.101	-0.04805593	-0.1941428	-1.096169E-05	
0.102	-0.04844425	-0.1940463	-1.106649E-05	
0.103	-0.04883236	-0.193949	-1.116899E-05	
0.104	-0.04922029	-0.1938509	-1.127134E-05	
0.105	-0.04960802	-0.193752	-1.137357E-05	
0.106	-0.04999555	-0.1936524	-1.147402E-05	
0.107	-0.05038288	-0.193552	-1.15781E-05	
0.108	-0.05077	-0.1934508	-1.168171E-05	
0.109	-0.05115693	-0.1933488	-1.178663E-05	
0.11	-0.05154365	-0.1932461	-1.189259E-05	
0.111	-0.05193017	-0.1931426	-1.199434E-05	
0.112	-0.05231648	-0.1930383	-1.20944E-05	
0.113	-0.05270258	-0.1929332	-1.219143E-05	
0.114	-0.05308847	-0.1928274	-1.229107E-05	
0.115	-0.05347415	-0.1927208	-1.239451E-05	
0.116	-0.05385961	-0.1926135	-1.249254E-05	
0.117	-0.05424486	-0.1925053	-1.258963E-05	
0.118	-0.05462989	-0.1923964	-1.269102E-05	
0.119	-0.05501471	-0.1922867	-1.279078E-05	
0.12	-0.0553993	-0.1921763	-1.289094E-05	
0.121	-0.05578367	-0.192065	-1.29914E-05	
0.122	-0.05616782	-0.1919531	-1.30938E-05	
0.123	-0.05655175	-0.1918403	-1.320112E-05	
0.124	-0.05693545	-0.1917268	-1.330395E-05	
0.125	-0.05731892	-0.1916125	-1.340318E-05	
0.126	-0.05770217	-0.1914974	-1.350122E-05	
0.127	-0.05808518	-0.1913816	-1.35983E-05	
0.128	-0.05846796	-0.191265	-1.369293E-05	
0.129	-0.05885051	-0.1911476	-1.37873E-05	
0.13	-0.05923282	-0.1910295	-1.388144E-05	
0.131	-0.0596149	-0.1909106	-1.397878E-05	
0.132	-0.05999674	-0.190791	-1.408035E-05	
0.133	-0.06037833	-0.1906706	-1.417858E-05	
0.134	-0.06075969	-0.1905494	-1.428256E-05	
0.135	-0.0611408	-0.1904275	-1.438608E-05	
0.136	-0.06152167	-0.1903047	-1.448249E-05	
0.137	-0.06190229	-0.1901813	-1.457995E-05	
0.138	-0.06228266	-0.1900571	-1.4685E-05	
0.139	-0.06266279	-0.1899321	-1.478769E-05	
0.14	-0.06304266	-0.1898063	-1.488849E-05	
0.141	-0.06342227	-0.1896798	-1.499283E-05	
0.142	-0.06380164	-0.1895525	-1.509496E-05	
0.143	-0.06418074	-0.1894245	-1.519868E-05	
0.144	-0.06455959	-0.1892958	-1.53003E-05	
0.145	-0.06493817	-0.1891662	-1.540698E-05	
0.146	-0.0653165	-0.1890359	-1.550929E-05	
0.147	-0.06569456	-0.1889049	-1.561316E-05	
0.148	-0.06607236	-0.1887731	-1.57149E-05	
0.149	-0.0664499	-0.1886405	-1.581831E-05	
0.15	-0.06682716	-0.1885072	-1.592305E-05	
0.151	-0.06720416	-0.1883731	-1.602717E-05	
0.152	-0.06758089	-0.1882383	-1.613754E-05	
0.153	-0.06795734	-0.1881027	-1.624954E-05	
0.154	-0.06833353	-0.1879664	-1.636115E-05	
0.155	-0.06870943	-0.1878293	-1.647246E-05	
0.156	-0.06908507	-0.1876915	-1.658014E-05	
0.157	-0.06946042	-0.1875529	-1.668662E-05	
0.158	-0.0698355	-0.1874136	-1.679381E-05	
0.159	-0.07021029	-0.1872735	-1.690158E-05	
0.16	-0.0705848	-0.1871326	-1.700475E-05	
0.161	-0.07095902	-0.1869911	-1.710424E-05	
0.162	-0.07133297	-0.1868487	-1.720247E-05	
0.163	-0.07170662	-0.1867057	-1.730306E-05	
0.164	-0.07207999	-0.1865619	-1.740555E-05	
0.165	-0.07245306	-0.1864173	-1.750786E-05	
0.166	-0.07282584	-0.186272	-1.761172E-05	
0.167	-0.07319834	-0.1861259	-1.771681E-05	
0.168	-0.07357053	-0.1859791	-1.782796E-05	
0.169	-0.07394242	-0.1858316	-1.793551E-05	
0.17	-0.07431402	-0.1856833	-1.80385E-05	
0.171	-0.07468531	-0.1855343	-1.814121E-05	
0.172	-0.07505631	-0.1853845	-1.824539E-05	
0.173	-0.07542699	-0.185234	-1.83558E-05	
0.174	-0.07579737	-0.1850828	-1.845938E-05	
0.175	-0.07616745	-0.1849308	-1.85592E-05	
0.176	-0.07653721	-0.1847781	-1.866275E-05	
0.177	-0.07690667	-0.1846246	-1.876422E-05	
0.178	-0.07727582	-0.1844704	-1.886908E-05	
0.179	-0.07764465	-0.1843155	-1.897666E-05	
0.18	-0.07801317	-0.1841599	-1.908641E-05	
0.181	-0.07838137	-0.1840035	-1.919285E-05	
0.182	-0.07874925	-0.1838463	-1.929831E-05	
0.183	-0.07911681	-0.1836884	-1.940469E-05	
0.184	-0.07948406	-0.1835299	-1.950841E-05	
0.185	-0.07985098	-0.1833705	-1.961677E-05	
0.186	-0.08021757	-0.1832105	-1.972545E-05	
0.187	-0.08058384	-0.1830497	-1.98344E-05	
0.188	-0.08094978	-0.1828882	-1.994187E-05	
0.189	-0.0813154	-0.1827259	-2.004816E-05	
0.19	-0.08168069	-0.1825629	-2.015688E-05	
0.191	-0.08204564	-0.1823992	-2.026585E-05	
0.192	-0.08241026	-0.1822348	-2.037166E-05	
0.193	-0.08277454	-0.1820696	-2.04783E-05	
0.194	-0.08313849	-0.1819037	-2.058392E-05	
0.195	-0.08350211	-0.1817371	-2.069379E-05	
0.196	-0.08386537	-0.1815698	-2.080031E-05	
0.197	-0.0842283	-0.1814017	-2.091426E-05	
0.198	-0.08459089	-0.181233	-2.102742E-05	
0.199	-0.08495314	-0.1810635	-2.113825E-05	
0.2	-0.08531504	-0.1808932	-2.124723E-05	
0.201	-0.08567659	-0.1807223	-2.135809E-05	
0.202	-0.08603779	-0.1805506	-2.146877E-05	
0.203	-0.08639865	-0.1803782	-2.1581E-05	
0.204	-0.08675914	-0.1802052	-2.169614E-05	
0.205	-0.08711928	-0.1800313	-2.180688E-05	
0.206	-0.08747908	-0.1798568	-2.191914E-05	
0.207	-0.08783851	-0.1796816	-2.203094E-05	
0.208	-0.08819758	-0.1795056	-2.214238E-05	
0.209	-0.08855629	-0.1793289	-2.22552E-05	
0.21	-0.08891464	-0.1791515	-2.236745E-05	
0.211	-0.08927263	-0.1789734	-2.247755E-05	
0.212	-0.08963025	-0.1787946	-2.258593E-05	
0.213	-0.08998749	-0.1786151	-2.269463E-05	
0.214	-0.09034438	-0.1784349	-2.280526E-05	
0.215	-0.0907009	-0.178254	-2.291575E-05	
0.216	-0.09105705	-0.1780723	-2.302613E-05	
0.217	-0.09141282	-0.17789	-2.313136E-05	
0.218	-0.09176822	-0.1777069	-2.323922E-05	
0.219	-0.09212324	-0.1775232	-2.335255E-05	
0.22	-0.09247789	-0.1773387	-2.346352E-05	
0.221	-0.09283216	-0.1771535	-2.357259E-05	
0.222	-0.09318605	-0.1769677	-2.368014E-05	
0.223	-0.09353956	-0.1767811	-2.378985E-05	
0.224	-0.09389269	-0.1765938	-2.390129E-05	
0.225	-0.09424543	-0.1764058	-2.401074E-05	
0.226	-0.09459779	-0.1762172	-2.412534E-05	
0.227	-0.09494976	-0.1760278	-2.424068E-05	
0.228	-0.09530134	-0.1758377	-2.435325E-05	
0.229	-0.09565254	-0.175647	-2.446529E-05	
0.23	-0.09600333	-0.1754555	-2.45769E-05	
0.231	-0.09635374	-0.1752633	-2.46848E-05	
0.232	-0.09670376	-0.1750705	-2.479647E-05	
0.233	-0.09705337	-0.174877	-2.490947E-05	
0.234	-0.09740259	-0.1746827	-2.502185E-05	
0.235	-0.09775142	-0.1744878	-2.513373E-05	
0.236	-0.09809984	-0.1742922	-2.52469E-05	
0.237	-0.09844785	-0.1740959	-2.535267E-05	
0.238	-0.09879547	-0.1738989	-2.545926E-05	
0.239	-0.09914269	-0.1737012	-2.556651E-05	
0.24	-0.09948949	-0.1735028	-2.567092E-05	
0.241	-0.0998359	-0.1733038	-2.577473E-05	
0.242	-0.1001819	-0.173104	-2.588313E-05	
0.243	-0.1005275	-0.1729036	-2.599519E-05	
0.244	-0.1008726	-0.1727025	-2.610344E-05	
0.245	-0.1012174	-0.1725007	-2.621539E-05	
0.246	-0.1015617	-0.1722982	-2.632692E-05	
0.247	-0.1019056	-0.1720951	-2.643812E-05	
0.248	-0.1022491	-0.1718913	-2.654736E-05	
0.249	-0.1025922	-0.1716868	-2.665336E-05	
0.25	-0.1029349	-0.1714816	-2.676013E-05	
0.251	-0.1032771	-0.1712757	-2.687257E-05	
0.252	-0.103619	-0.1710692	-2.698281E-05	
0.253	-0.1039604	-0.1708619	-2.709465E-05	
0.254	-0.1043013	-0.1706541	-2.721115E-05	
0.255	-0.1046419	-0.1704455	-2.732633E-05	
0.256	-0.104982	-0.1702363	-2.743706E-05	
0.257	-0.1053217	-0.1700264	-2.75493E-05	
0.258	-0.1056609	-0.1698158	-2.766443E-05	
0.259	-0.1059997	-0.1696046	-2.777851E-05	
0.26	-0.1063381	-0.1693926	-2.789342E-05	
0.261	-0.106676	-0.1691801	-2.8009E-05	
0.262	-0.1070135	-0.1689668	-2.812343E-05	
0.263	-0.1073506	-0.1687529	-2.823525E-05	
0.264	-0.1076872	-0.1685383	-2.834836E-05	
0.265	-0.1080234	-0.1683231	-2.845744E-05	
0.266	-0.1083592	-0.1681072	-2.857004E-05	
0.267	-0.1086945	-0.1678907	-2.868377E-05	
0.268	-0.1090293	-0.1676734	-2.880008E-05	
0.269	-0.1093637	-0.1674556	-2.891341E-05	
0.27	-0.1096977	-0.167237	-2.902604E-05	
0.271	-0.1100312	-0.1670178	-2.91381E-05	
0.272	-0.1103643	-0.166798	-2.924971E-05	
0.273	-0.1106969	-0.1665775	-2.935927E-05	
0.274	-0.111029	-0.1663563	-2.94672E-05	
0.275	-0.1113607	-0.1661345	-2.957213E-05	
0.276	-0.111692	-0.165912	-2.967803E-05	
0.277	-0.1120228	-0.1656889	-2.978976E-05	
0.278	-0.1123531	-0.1654651	-2.990111E-05	
0.279	-0.112683	-0.1652407	-3.001215E-05	
0.28	-0.1130124	-0.1650157	-3.012293E-05	
0.281	-0.1133413	-0.1647899	-3.023352E-05	
0.282	-0.1136698	-0.1645636	-3.034394E-05	
0.283	-0.1139978	-0.1643366	-3.045592E-05	
0.284	-0.1143254	-0.1641089	-3.056746E-05	
0.285	-0.1146525	-0.1638806	-3.068202E-05	
0.286	-0.1149791	-0.1636517	-3.079394E-05	
0.287	-0.1153052	-0.1634221	-3.09088E-05	
0.288	-0.1156309	-0.1631919	-3.102264E-05	
0.289	-0.1159561	-0.162961	-3.114072E-05	
0.29	-0.1162808	-0.1627295	-3.125882E-05	
0.291	-0.1166051	-0.1624974	-3.137694E-05	
0.292	-0.1169289	-0.1622646	-3.149676E-05	
0.293	-0.1172522	-0.1620312	-3.161963E-05	
0.294	-0.117575	-0.1617972	-3.17365E-05	
0.295	-0.1178973	-0.1615625	-3.1857E-05	
0.296	-0.1182192	-0.1613272	-3.197367E-05	
0.297	-0.1185405	-0.1610913	-3.209064E-05	
0.298	-0.1188614	-0.1608547	-3.220784E-05	
0.299	-0.1191818	-0.1606175	-3.232356E-05	
0.3	-0.1195017	-0.1603797	-3.243471E-05	
0.301	-0.1198211	-0.1601413	-3.255063E-05	
0.302	-0.1201401	-0.1599022	-3.2667E-05	
0.303	-0.1204585	-0.1596625	-3.278205E-05	
0.304	-0.1207765	-0.1594221	-3.28994E-05	
0.305	-0.1210939	-0.1591812	-3.302197E-05	
0.306	-0.1214109	-0.1589396	-3.31386E-05	
0.307	-0.1217273	-0.1586975	-3.325385E-05	
0.308	-0.1220433	-0.1584546	-3.336968E-05	
0.309	-0.1223588	-0.1582112	-3.348765E-05	
0.31	-0.1226738	-0.1579672	-3.360398E-05	
0.311	-0.1229882	-0.1577225	-3.372067E-05	
0.312	-0.1233022	-0.1574772	-3.383933E-05	
0.313	-0.1236157	-0.1572314	-3.395958E-05	
0.314	-0.1239287	-0.1569849	-3.407603E-05	
0.315	-0.1242411	-0.1567377	-3.419113E-05	
0.316	-0.1245531	-0.15649	-3.430178E-05	
0.317	-0.1248645	-0.1562417	-3.441393E-05	
0.318	-0.1251755	-0.1559927	-3.45239E-05	
0.319	-0.1254859	-0.1557432	-3.46355E-05	
0.32	-0.1257958	-0.155493	-3.47484E-05	
0.321	-0.1261052	-0.1552422	-3.486404E-05	
0.322	-0.1264141	-0.1549909	-3.498354E-05	
0.323	-0.1267225	-0.1547389	-3.510276E-05	
0.324	-0.1270304	-0.1544863	-3.522008E-05	
0.325	-0.1273377	-0.1542331	-3.533418E-05	
0.326	-0.1276445	-0.1539794	-3.54474E-05	
0.327	-0.1279508	-0.153725	-3.55599E-05	
0.328	-0.1282566	-0.15347	-3.567185E-05	
0.329	-0.1285619	-0.1532144	-3.578671E-05	
0.33	-0.1288667	-0.1529582	-3.590053E-05	
0.331	-0.1291709	-0.1527015	-3.60152E-05	
0.332	-0.1294746	-0.1524441	-3.612888E-05	
0.333	-0.1297778	-0.1521862	-3.624512E-05	
0.334	-0.1300804	-0.1519276	-3.636004E-05	
0.335	-0.1303825	-0.1516685	-3.647729E-05	
0.336	-0.1306841	-0.1514087	-3.65947E-05	
0.337	-0.1309852	-0.1511484	-3.670888E-05	
0.338	-0.1312857	-0.1508875	-3.682383E-05	
0.339	-0.1315857	-0.150626	-3.693604E-05	
0.34	-0.1318852	-0.150364	-3.70511E-05	
0.341	-0.1321841	-0.1501013	-3.716171E-05	
0.342	-0.1324825	-0.1498381	-3.727213E-05	
0.343	-0.1327804	-0.1495743	-3.738408E-05	
0.344	-0.1330777	-0.1493099	-3.749893E-05	
0.345	-0.1333744	-0.1490449	-3.761106E-05	
0.346	-0.1336707	-0.1487793	-3.772437E-05	
0.347	-0.1339664	-0.1485132	-3.784032E-05	
0.348	-0.1342615	-0.1482465	-3.7955E-05	
0.349	-0.1345561	-0.1479792	-3.806868E-05	
0.35	-0.1348502	-0.1477113	-3.817985E-05	
0.351	-0.1351437	-0.1474429	-3.829578E-05	
0.352	-0.1354367	-0.1471739	-3.840706E-05	
0.353	-0.1357291	-0.1469043	-3.851464E-05	
0.354	-0.1360209	-0.1466342	-3.8626E-05	
0.355	-0.1363123	-0.1463635	-3.874039E-05	
0.356	-0.136603	-0.1460922	-3.88555E-05	
0.357	-0.1368932	-0.1458203	-3.89712E-05	
0.358	-0.1371829	-0.1455479	-3.908568E-05	
0.359	-0.137472	-0.145275	-3.920424E-05	
0.36	-0.1377605	-0.1450014	-3.932269E-05	
