Time	MV	Tension	Length	A	
0	-0.09991193	0	0.5	0	
0.0002	-0.0998241	0	0.5	0	
0.0004	-0.09973653	0	0.5	0	
0.0006	-0.09964921	0	0.5	0	
0.0008	-0.09956214	0	0.5	0	
0.0009999999	-0.09947532	0	0.5	0	
0.0012	-0.09938874	0	0.5	0	
0.0014	-0.09930241	0	0.5	0	
0.0016	-0.09921633	0	0.5	0	
0.0018	-0.0991305	3.018975E-07	0.5	6.037951E-05	
0.002	-0.0990449	3.018975E-07	0.5	6.037951E-05	
0.0022	-0.09895955	3.018975E-07	0.5	6.037951E-05	
0.0024	-0.09887444	3.018975E-07	0.5	6.037951E-05	
0.0026	-0.09878958	3.018975E-07	0.5	6.037951E-05	
0.0028	-0.09870496	4.4222E-05	0.5	0.008784398	
0.003	-0.09862059	4.4222E-05	0.5	0.008784398	
0.0032	-0.09853645	4.4222E-05	0.5	0.008784398	
0.0034	-0.09845255	4.4222E-05	0.5	0.008784398	
0.0036	-0.09836889	4.4222E-05	0.5	0.008784398	
0.0038	-0.09828547	0.0001337333	0.5	0.01795754	
0.004	-0.09820229	0.0001337333	0.5	0.01795754	
0.0042	-0.09811934	0.0001337333	0.5	0.01795754	
0.0044	-0.09803663	0.0001337333	0.5	0.01795754	
0.0046	-0.09795415	0.0001337333	0.5	0.01795754	
0.0048	-0.09787191	0.0002708649	0.5	0.02759349	
0.005	-0.09778991	0.0002708649	0.5	0.02759349	
0.0052	-0.09770815	0.0002708649	0.5	0.02759349	
0.0054	-0.09762662	0.0002708649	0.5	0.02759349	
0.0056	-0.09754532	0.0002708649	0.5	0.02759349	
0.0058	-0.09746425	0.0004577086	0.5	0.03770731	
0.006	-0.09738341	0.0004577086	0.5	0.03770731	
0.0062	-0.0973028	0.0004577086	0.5	0.03770731	
0.0064	-0.09722243	0.0004577086	0.5	0.03770731	
0.0066	-0.09714228	0.0004577086	0.5	0.03770731	
0.0068	-0.09706236	0.0006964077	0.5	0.04831198	
0.007	-0.09698267	0.0006964077	0.5	0.04831198	
0.0072	-0.0969032	0.0006964077	0.5	0.04831198	
0.0074	-0.09682397	0.0006964077	0.5	0.04831198	
0.0076	-0.09674495	0.0006964077	0.5	0.04831198	
0.0078	-0.09666616	0.0009891664	0.5	0.05942225	
0.007999999	-0.09658761	0.0009891664	0.5	0.05942225	
0.0082	-0.09650927	0.0009891664	0.5	0.05942225	
0.0084	-0.09643115	0.0009891664	0.5	0.05942225	
0.008599999	-0.09635326	0.0009891664	0.5	0.05942225	
0.0088	-0.0962756	0.001338247	0.5	0.07105251	
0.009	-0.09619815	0.001338247	0.5	0.07105251	
0.0092	-0.09612092	0.001338247	0.5	0.07105251	
0.0094	-0.09604392	0.001338247	0.5	0.07105251	
0.0096	-0.09596713	0.001338247	0.5	0.07105251	
0.0098	-0.09589057	0.001745964	0.5	0.08321638	
0.01	-0.09581421	0.001745964	0.5	0.08321638	
0.0102	-0.09573808	0.001745964	0.5	0.08321638	
0.0104	-0.09566217	0.001745964	0.5	0.08321638	
0.0106	-0.09558647	0.001745964	0.5	0.08321638	
0.0108	-0.09551099	0.002214691	0.5	0.0959278	
0.011	-0.09543572	0.002214691	0.5	0.0959278	
0.0112	-0.09536067	0.002214691	0.5	0.0959278	
0.0114	-0.09528583	0.002214691	0.5	0.0959278	
0.0116	-0.09521122	0.002214691	0.5	0.0959278	
0.0118	-0.09513681	0.00274685	0.5	0.1092001	
0.012	-0.09506261	0.00274685	0.5	0.1092001	
0.0122	-0.09498861	0.00274685	0.5	0.1092001	
0.0124	-0.09491484	0.00274685	0.5	0.1092001	
0.0126	-0.09484128	0.00274685	0.5	0.1092001	
0.0128	-0.09476792	0.003344917	0.5	0.123047	
0.013	-0.09469478	0.003344917	0.5	0.123047	
0.0132	-0.09462184	0.003344917	0.5	0.123047	
0.0134	-0.09454911	0.003344917	0.5	0.123047	
0.0136	-0.09447659	0.003344917	0.5	0.123047	
0.0138	-0.09440427	0.004011419	0.5	0.1374815	
0.014	-0.09433217	0.004011419	0.5	0.1374815	
0.0142	-0.09426027	0.004011419	0.5	0.1374815	
0.0144	-0.09418857	0.004011419	0.5	0.1374815	
0.0146	-0.09411708	0.004011419	0.5	0.1374815	
0.0148	-0.09404578	0.004748933	0.5	0.1525172	
0.015	-0.0939747	0.004748933	0.5	0.1525172	
0.0152	-0.09390382	0.004748933	0.5	0.1525172	
0.0154	-0.09383314	0.004748933	0.5	0.1525172	
0.0156	-0.09376266	0.004748933	0.5	0.1525172	
0.0158	-0.09369238	0.005560083	0.5	0.1681662	
0.016	-0.0936223	0.005560083	0.5	0.1681662	
0.0162	-0.09355243	0.005560083	0.5	0.1681662	
0.0164	-0.09348275	0.005560083	0.5	0.1681662	
0.0166	-0.09341327	0.005560083	0.5	0.1681662	
0.0168	-0.09334399	0.006447539	0.5	0.1844413	
0.017	-0.0932749	0.006447539	0.5	0.1844413	
0.0172	-0.09320602	0.006447539	0.5	0.1844413	
0.0174	-0.09313733	0.006447539	0.5	0.1844413	
0.0176	-0.09306883	0.006447539	0.5	0.1844413	
0.0178	-0.09300053	0.007414015	0.5	0.2013545	
0.018	-0.09293243	0.007414015	0.5	0.2013545	
0.0182	-0.09286453	0.007414015	0.5	0.2013545	
0.0184	-0.09279681	0.007414015	0.5	0.2013545	
0.0186	-0.09272929	0.007414015	0.5	0.2013545	
0.0188	-0.09266195	0.008462267	0.5	0.2189181	
0.019	-0.09259482	0.008462267	0.5	0.2189181	
0.0192	-0.09252787	0.008462267	0.5	0.2189181	
0.0194	-0.09246112	0.008462267	0.5	0.2189181	
0.0196	-0.09239455	0.008462267	0.5	0.2189181	
0.0198	-0.09232817	0.009595091	0.5	0.2371427	
0.02	-0.09226198	0.009595091	0.5	0.2371427	
0.0202	-0.092196	0.009595091	0.5	0.2371427	
0.0204	-0.09213018	0.009595091	0.5	0.2371427	
0.0206	-0.09206456	0.009595091	0.5	0.2371427	
0.0208	-0.09199913	0.01081533	0.5	0.2560406	
0.021	-0.09193388	0.01081533	0.5	0.2560406	
0.0212	-0.09186882	0.01081533	0.5	0.2560406	
0.0214	-0.09180395	0.01081533	0.5	0.2560406	
0.0216	-0.09173926	0.01081533	0.5	0.2560406	
0.0218	-0.09167475	0.01212584	0.5	0.2756216	
0.022	-0.09161042	0.01212584	0.5	0.2756216	
0.0222	-0.09154629	0.01212584	0.5	0.2756216	
0.0224	-0.09148233	0.01212584	0.5	0.2756216	
