Time	MV	Tension	Muscle2	Length	A	
0	-0.1	0	0	0.9472136	0	
0.0002	-0.1	0	0	0.9472136	0	
0.0004	-0.09872524	0	0	0.9472136	0	
0.0006	-0.09755266	0	0	0.9472136	0	
0.0008	-0.09647334	0.0001335144	0.0001335144	0.9472136	0	
0.0009999999	-0.09547926	0.0001335144	0.0001335144	0.9472136	0	
0.0012	-0.09456321	0.0001335144	0.0001335144	0.9472136	0	
0.0014	-0.09371868	0.0001335144	0.0001335144	0.9472136	0	
0.0016	-0.09293979	0.0001335144	0.0001335144	0.9472136	0	
0.0018	-0.09222121	0.0004769329	0.0002363547	0.9472136	0.04811564	
0.002	-0.0915581	0.0004769329	0.0002363547	0.9472136	0.04811564	
0.0022	-0.09094607	0.0004769329	0.0002363547	0.9472136	0.04811564	
0.0024	-0.09038112	0.0004769329	0.0002363547	0.9472136	0.04811564	
0.0026	-0.08818138	0.0004769329	0.0002363547	0.9472136	0.04811564	
0.0028	-0.08618664	0.001706261	0.0003385151	0.9472135	0.2257342	
0.003	-0.08437519	0.001706261	0.0003385151	0.9472135	0.2257342	
0.0032	-0.08272804	0.001706261	0.0003385151	0.9472135	0.2257342	
0.0034	-0.08122853	0.001706261	0.0003385151	0.9472135	0.2257342	
0.0036	-0.07986203	0.001706261	0.0003385151	0.9472135	0.2257342	
0.0038	-0.07861561	0.004809124	0.0004698393	0.9472135	0.5960175	
0.004	-0.07747783	0.004809124	0.0004698393	0.9472135	0.5960175	
0.0042	-0.07643855	0.004809124	0.0004698393	0.9472135	0.5960175	
0.0044	-0.07548872	0.004809124	0.0004698393	0.9472135	0.5960175	
0.0046	-0.07462031	0.004809124	0.0004698393	0.9472135	0.5960175	
0.0048	-0.07382612	0.01694313	0.0006600218	0.9472136	2.394188	
0.005	-0.07309967	0.01694313	0.0006600218	0.9472136	2.394188	
0.0052	-0.07243518	0.01694313	0.0006600218	0.9472136	2.394188	
0.0054	-0.07182742	0.01694313	0.0006600218	0.9472136	2.394188	
0.0056	-0.07127167	0.01694313	0.0006600218	0.9472136	2.394188	
0.0058	-0.07076367	0.04394245	0.000789411	0.9472136	5.394341	
0.006	-0.07029957	0.04394245	0.000789411	0.9472136	5.394341	
0.0062	-0.06987585	0.04394245	0.000789411	0.9472136	5.394341	
0.0064	-0.06948935	0.04394245	0.000789411	0.9472136	5.394341	
0.0066	-0.06913715	0.04394245	0.000789411	0.9472136	5.394341	
0.0068	-0.0688166	0.0885729	0.0008583125	0.9472135	8.966253	
