Time	3	Rotation	AVm	
0	-0.05	0	0	
0.0002	-0.05	0	0	
0.0004	-0.05	0	0	
0.0006	-0.05	0	0	
0.0008	-0.05	0	0	
0.0009999999	-0.05	0	0	
0.0012	-0.05	0	0	
0.0014	-0.05	0	0	
0.0016	-0.05	0	0	
0.0018	-0.05	0	0.04	
0.002	-0.05	-0.0001388821	0.04	
0.0022	-0.05	-0.0001388821	0.04	
0.0024	-0.05	-0.0001388821	0.04	
0.0026	-0.05	-0.0001388821	0.04	
0.0028	-0.05	-0.0001388821	0.04	
0.003	-0.05	-0.0004234482	0.04	
0.0032	-0.05	-0.0004234482	0.04	
0.0034	-0.05	-0.0004234482	0.04	
0.0036	-0.05	-0.0004234482	0.04	
0.0038	-0.05	-0.0004234482	0.0784	
0.004	-0.05	-0.0008540164	0.0784	
0.0042	-0.05	-0.0008540164	0.0784	
0.0044	-0.05	-0.0008540164	0.0784	
0.0046	-0.05	-0.0008540164	0.0784	
0.0048	-0.05	-0.0008540164	0.0784	
0.005	-0.05	-0.001430588	0.0784	
0.0052	-0.05	-0.001430588	0.0784	
0.0054	-0.05	-0.001430588	0.0784	
0.0056	-0.05	-0.001430588	0.0784	
0.0058	-0.05	-0.001430588	0.115264	
0.006	-0.05	-0.002153147	0.115264	
0.0062	-0.05	-0.002153147	0.115264	
0.0064	-0.05	-0.002153147	0.115264	
0.0066	-0.05	-0.002153147	0.115264	
0.0068	-0.0499201	-0.002153147	0.115264	
0.007	-0.04984552	-0.003021682	0.115264	
0.0072	-0.04977592	-0.003021682	0.115264	
0.0074	-0.04971094	-0.003021682	0.115264	
0.0076	-0.04965029	-0.003021682	0.115264	
0.0078	-0.04959365	-0.003021682	0.1506534	
0.007999999	-0.04954078	-0.004036176	0.1506534	
0.0082	-0.04949142	-0.004036176	0.1506534	
0.0084	-0.04944532	-0.004036176	0.1506534	
0.008599999	-0.04940228	-0.004036176	0.1506534	
0.0088	-0.04936209	-0.004036176	0.1506534	
0.009	-0.04932455	-0.005196619	0.1506534	
0.0092	-0.04928951	-0.005196619	0.1506534	
0.0094	-0.04925678	-0.005196619	0.1506534	
0.0096	-0.04922622	-0.005196619	0.1506534	
0.0098	-0.04919769	-0.005196619	0.1846273	
0.01	-0.04917104	-0.006502994	0.1846273	
0.0102	-0.04914616	-0.006502994	0.1846273	
0.0104	-0.04912294	-0.006502994	0.1846273	
