Time	1FF	2FF	2Vm	1Vm	1Ie	2Ii	
0	0	0	0	0	0	0	
0.002	0	0.1	0.01	0	0	5E-09	
0.004	0	0.18	0.018	0	0	5E-09	
0.006	0	0.244	0.0244	0	0	5E-09	
0.008	0	0.2952	0.02952	0	0	5E-09	
0.01	0	0.33616	0.033616	0	0	5E-09	
0.012	0	0.368928	0.0368928	0	0	5E-09	
0.014	0	0.3951424	0.03951424	0	0	5E-09	
0.016	0	0.4161139	0.04161139	0	0	5E-09	
0.018	0	0.4328911	0.04328911	0	0	5E-09	
0.02	0	0.4463129	0.04463129	0	0	5E-09	
0.022	0	0.4570503	0.04570503	0	0	5E-09	
0.024	0	0.4656402	0.04656402	0	0	5E-09	
0.026	0	0.4725122	0.04725122	0	0	5E-09	
0.028	0	0.4780098	0.04780098	0	0	5E-09	
0.03	0	0.4824078	0.04824078	0	0	5E-09	
0.032	0	0.4859262	0.04859262	0	0	5E-09	
0.034	0	0.488741	0.0488741	0	0	5E-09	
0.036	0	0.4909928	0.04909928	0	0	5E-09	
0.038	0	0.4927942	0.04927942	0	0	5E-09	
0.04	0	0.4942354	0.04942354	0	0	5E-09	
0.042	0	0.4953883	0.04953883	0	0	5E-09	
0.044	0	0.4963106	0.04963106	0	0	5E-09	
0.046	0	0.4970485	0.04970485	0	0	5E-09	
0.048	0	0.4976388	0.04976388	0	0	5E-09	
0.05	0	0.498111	0.0498111	0	0	5E-09	
0.052	0	0.4984888	0.04984888	0	0	5E-09	
0.054	0	0.498791	0.0498791	0	0	5E-09	
0.056	0	0.4990328	0.04990328	0	0	5E-09	
0.058	0	0.4992263	0.04992263	0	0	5E-09	
0.06	0	0.499381	0.0499381	0	0	5E-09	
0.062	0	0.4995048	0.04995048	0	0	5E-09	
0.064	0	0.4996039	0.04996039	0	0	5E-09	
0.066	0	0.4996831	0.04996831	0	0	5E-09	
0.068	0	0.4997465	0.04997465	0	0	5E-09	
0.07	0	0.4997972	0.04997972	0	0	5E-09	
0.072	0	0.4998377	0.04998377	0	0	5E-09	
0.074	0	0.4998702	0.04998702	0	0	5E-09	
0.07600001	0	0.4998961	0.04998961	0	0	5E-09	
0.078	0	0.4999169	0.04999169	0	0	5E-09	
0.08000001	0	0.4999335	0.04999335	0	0	5E-09	
0.082	0	0.4999468	0.04999468	0	0	5E-09	
0.08400001	0	0.4999575	0.04999575	0	0	5E-09	
0.086	0	0.499966	0.0499966	0	0	5E-09	
0.08800001	0	0.4999728	0.04999728	0	0	5E-09	
0.09	0	0.4999782	0.04999782	0	0	5E-09	
0.09200001	0	0.4999826	0.04999826	0	0	5E-09	
0.094	0	0.4999861	0.0499986	0	0	5E-09	
0.096	0	0.4999888	0.04999888	0	0	5E-09	
0.098	0	0.4999911	0.04999911	0	0	5E-09	
0.1	0	0.4999928	0.04999929	0	-4E-09	5E-09	
0.102	0	0.4999943	0.04999943	-0.008	-4E-09	5E-09	
0.104	0	0.4999954	0.04999954	-0.0144	-4E-09	5E-09	
0.106	0	0.4999964	0.04999964	-0.01952	-4E-09	5E-09	
0.108	0	0.4999971	0.04999971	-0.023616	-4E-09	5E-09	
0.11	0	0.4999977	0.04999977	-0.0268928	-4E-09	5E-09	
0.112	0	0.4999981	0.04999981	-0.02951424	-4E-09	5E-09	
0.114	0	0.4999985	0.04999985	-0.03161139	-4E-09	5E-09	
0.116	0	0.4999988	0.04999988	-0.03328911	-4E-09	5E-09	
0.118	0	0.499999	0.0499999	-0.03463129	-4E-09	5E-09	
0.12	0	0.4999992	0.04999992	-0.03570503	-4E-09	5E-09	
0.122	0	0.4999993	0.04999993	-0.03656402	-4E-09	5E-09	
0.124	0	0.4999995	0.04999995	-0.03725122	-4E-09	5E-09	
0.126	0	0.4999996	0.04999996	-0.03780098	-4E-09	5E-09	
0.128	0	0.4999997	0.04999997	-0.03824078	-4E-09	5E-09	
0.13	0	0.4999998	0.04999997	-0.03859262	-4E-09	5E-09	
0.132	0	0.4999998	0.04999998	-0.0388741	-4E-09	5E-09	
0.134	0	0.4999998	0.04999998	-0.03909928	-4E-09	5E-09	
0.136	0	0.4999999	0.04999999	-0.03927942	-4E-09	5E-09	
0.138	0	0.4999999	0.04999999	-0.03942354	-4E-09	5E-09	
0.14	0	0.4999999	0.04999999	-0.03953883	-4E-09	5E-09	
0.142	0	0.4999999	0.04999999	-0.03963106	-4E-09	5E-09	
0.144	0	0.4999999	0.04999999	-0.03970485	-4E-09	5E-09	
0.146	0	0.4999999	0.04999999	-0.03976388	-4E-09	5E-09	
0.148	0	0.4999999	0.04999999	-0.0398111	-4E-09	5E-09	
0.15	0	0.4999999	0.04999999	-0.03984888	-4E-09	5E-09	
0.152	0	0.4999999	0.04999999	-0.03987911	-4E-09	5E-09	
0.154	0	0.4999999	0.04999999	-0.03990328	-4E-09	5E-09	
0.156	0	0.4999999	0.04999999	-0.03992262	-4E-09	5E-09	
0.158	0	0.4999999	0.04999999	-0.0399381	-4E-09	5E-09	
0.16	0	0.4999999	0.04999999	-0.03995048	-4E-09	5E-09	
0.162	0	0.4999999	0.04999999	-0.03996038	-4E-09	5E-09	
0.164	0	0.4999999	0.04999999	-0.03996831	-4E-09	5E-09	
0.166	0	0.4999999	0.04999999	-0.03997464	-4E-09	5E-09	
0.168	0	0.4999999	0.04999999	-0.03997971	-4E-09	5E-09	
0.17	0	0.4999999	0.04999999	-0.03998377	-4E-09	5E-09	
0.172	0	0.4999999	0.04999999	-0.03998702	-4E-09	5E-09	
0.174	0	0.4999999	0.04999999	-0.03998961	-4E-09	5E-09	
0.176	0	0.4999999	0.04999999	-0.03999169	-4E-09	5E-09	
0.178	0	0.4999999	0.04999999	-0.03999335	-4E-09	5E-09	
0.18	0	0.4999999	0.04999999	-0.03999468	-4E-09	5E-09	
0.182	0	0.4999999	0.04999999	-0.03999574	-4E-09	5E-09	
0.184	0	0.4999999	0.04999999	-0.03999659	-4E-09	5E-09	
0.186	0	0.4999999	0.04999999	-0.03999728	-4E-09	5E-09	
0.188	0	0.4999999	0.04999999	-0.03999782	-4E-09	5E-09	
0.19	0	0.4999999	0.04999999	-0.03999826	-4E-09	5E-09	
0.192	0	0.4999999	0.04999999	-0.0399986	-4E-09	5E-09	
0.194	0	0.4999999	0.04999999	-0.03999888	-4E-09	5E-09	
0.196	0	0.4999999	0.04999999	-0.03999911	-4E-09	5E-09	
0.198	0	0.4999999	0.04999999	-0.03999928	-4E-09	5E-09	
0.2	0	0.4999999	0.04999999	-0.03999943	0	5E-09	
0.202	0	0.4999999	0.04999999	-0.03199954	0	5E-09	
0.204	0	0.4999999	0.04999999	-0.02559963	0	5E-09	
0.206	0	0.4999999	0.04999999	-0.0204797	0	5E-09	
0.208	0	0.4999999	0.04999999	-0.01638376	0	5E-09	
0.21	0	0.4999999	0.04999999	-0.01310701	0	5E-09	
0.212	0	0.4999999	0.04999999	-0.01048561	0	5E-09	
0.214	0	0.4999999	0.04999999	-0.008388488	0	5E-09	
0.216	0	0.4999999	0.04999999	-0.00671079	0	5E-09	
0.218	0	0.4999999	0.04999999	-0.005368632	0	5E-09	
0.22	0	0.4999999	0.04999999	-0.004294905	0	5E-09	
0.222	0	0.4999999	0.04999999	-0.003435924	0	5E-09	
0.224	0	0.4999999	0.04999999	-0.002748739	0	5E-09	
0.226	0	0.4999999	0.04999999	-0.002198991	0	5E-09	
0.228	0	0.4999999	0.04999999	-0.001759193	0	5E-09	
0.23	0	0.4999999	0.04999999	-0.001407354	0	5E-09	
0.232	0	0.4999999	0.04999999	-0.001125884	0	5E-09	
0.234	0	0.4999999	0.04999999	-0.0009007069	0	5E-09	
0.236	0	0.4999999	0.04999999	-0.0007205654	0	5E-09	
0.238	0	0.4999999	0.04999999	-0.0005764524	0	5E-09	
0.24	0	0.4999999	0.04999999	-0.0004611619	0	5E-09	
0.242	0	0.4999999	0.04999999	-0.0003689295	0	5E-09	
0.244	0	0.4999999	0.04999999	-0.0002951436	0	5E-09	
0.246	0	0.4999999	0.04999999	-0.0002361149	0	5E-09	
0.248	0	0.4999999	0.04999999	-0.0001888919	0	5E-09	
0.25	0	0.4999999	0.04999999	-0.0001511135	0	5E-09	
0.252	0	0.4999999	0.04999999	-0.0001208908	0	5E-09	
0.254	0	0.4999999	0.04999999	-9.671265E-05	0	5E-09	
0.256	0	0.4999999	0.04999999	-7.737012E-05	0	5E-09	
0.258	0	0.4999999	0.04999999	-6.189609E-05	0	5E-09	
0.26	0	0.4999999	0.04999999	-4.951687E-05	0	5E-09	
0.262	0	0.4999999	0.04999999	-3.96135E-05	0	5E-09	
0.264	0	0.4999999	0.04999999	-3.16908E-05	0	5E-09	
0.266	0	0.4999999	0.04999999	-2.535264E-05	0	5E-09	
0.268	0	0.4999999	0.04999999	-2.028211E-05	0	5E-09	
0.27	0	0.4999999	0.04999999	-1.622569E-05	0	5E-09	
0.272	0	0.4999999	0.04999999	-1.298055E-05	0	5E-09	
0.274	0	0.4999999	0.04999999	-1.038444E-05	0	5E-09	
0.276	0	0.4999999	0.04999999	-8.307552E-06	0	5E-09	
0.278	0	0.4999999	0.04999999	-6.646042E-06	0	5E-09	
0.28	0	0.4999999	0.04999999	-5.316833E-06	0	5E-09	
0.282	0	0.4999999	0.04999999	-4.253467E-06	0	5E-09	
0.284	0	0.4999999	0.04999999	-3.402773E-06	0	5E-09	
0.286	0	0.4999999	0.04999999	-2.722219E-06	0	5E-09	
